"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM1CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,0,5,0,2,0,3.29284071407571,0.855,10.105,0,9.133,0,0.807,0,0.71,0,3.29284071407571,0,0,3.29284071407571,0,39.609,1,0,1,0,1,1,1,"Dollar General","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.831154971688029,0.0368195236312475,2,0,0,1,0
"ITEM22CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.8,8,11,0,11,0,6,0,8.62262728759039,0.252,6.171,0,6.757,0,1.865,0,1.207,0,8.62262728759039,0,0,8.62262728759039,0,49.198,1,0,0,0,1,1,1,"Dollar General","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.633092174288036,0.0263222503390558,2,0,0,1,1
"ITEM23CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.9,1,3,0,3,0,1,0,1.72258360428361,1.147,11.626,0,8.49,0,1.453,0,0.926,0,1.72258360428361,0,0,1.72258360428361,0,50.706,1,0,1,0,1,1,1,"Dollar General","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.691857408138812,0.0370674228365529,2,0,0,1,0
"ITEM2CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.5,2,3,13,3,0,1,9.5369717183426,2.1408858914057,0,1.565,0,0.89,0,0.258,0,0,0,2.1408858914057,0,0,2.1408858914057,0,20.418,1,1,1,1,0,0,0,"Dollar General","ROM","CT WHISKER LICKINS CR 04OZ",0.973861994956381,0.0694835797696126,2,7,0,0,0
"ITEM35CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 04OZ",1.8,1,2,79,2,0,1,16.693752641702,1.58877136342202,0,0.418,0,1.173,0,0,0,0,0,1.58877136342202,0,0,1.58877136342202,0,0,1,0,0,0,0,0,0,"Dollar General","ROM","CT KIT KABOODLE CR 04OZ",NA,NA,1,24,0,1,1
"ITEM4408CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5.2,4,6,49,6,0,2,20.2872150151436,4.59456802803877,0.03,4.506,0,3.62,0,0.496,0,0.75,0,4.59456802803877,0,0,4.59456802803877,0,1.7,0,1,0,1,1,1,1,"Dollar General","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",NA,NA,1,27,1,0,1
"ITEM4429CTKITKABOODLECR_Retailer","NPP","Cat Treats","CT KIT KABOODLE CR 02.4OZ",1,0,2,0,2,0,0,0,0.962046804753876,0,3.76,0,0,0,0.792,0,0,0,1,0.7,0,1,0.1,28.883,1,1,1,1,0,1,0,"Dollar General","Retailer","CT KIT KABOODLE CR 02.4OZ",0.847981344294826,0.849655893314757,1,0,0,0,0
"ITEM4457CTWHISKERLICKINSAO_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.6,3,4,11,4,0,2,7.07795819386528,3.07256653645656,0.102,5.067,0,6.416,0,1.054,0,0.034,0,3.07256653645656,0,0,3.07256653645656,0,9.2595,1,1,1,1,1,1,0,"Dollar General","ROM","CT WHISKER LICKINS AO",NA,NA,1,4,0,0,0
"ITEM473CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 19OZ",13,11,15,89,15,0,6,21.2371308052788,10.6950989606353,0,0.525,0,0.916,0,0.051,0,0.049,0,10.6950989606353,0,0,10.6950989606353,0,0.007,1,1,0,1,0,0,1,"Dollar General","ROM","CT DENTALIFE DNT 19OZ",NA,NA,1,29,0,0,1
"ITEM48CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.2,2,3,12,3,0,1,7.3600087330919,1.96362127659383,0.058,1.556,0,1.067,0,0.254,0,0.125,0,1.96362127659383,0,0,1.96362127659383,0,2.921,1,1,0,1,0,1,0,"Dollar General","ROM","CT DENTALIFE DNT 01.8OZ",NA,NA,1,21,0,0,1
