"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","CB_Comp_TPR_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_Interaction_TPR_1","Model_flag"
"ITEM101CWMERRICKPURRFECTBISTRO_ROM","Wet Cat","Dollar General","CW MERRICK PURRFECT BISTRO 05.5OZ",0,0.971075615792666,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.78182633777364,"ROM",0,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,1
"ITEM1028DDPROPLANBRIGHTMINDS_ROM","Dry Dog","Dollar General","DD PRO PLAN BRIGHT MINDS 04-5LB",0,0.608339476941191,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,5.03488848996466,"ROM",0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,1
"ITEM1032DTHONESTTODOGAOF_ROM","Dog Treats","Dollar General","DT HONEST TO DOG AOF",-0.710316191228857,0.538024269896258,-0.309276510423205,-0.110868341850712,0,0,0,0,0,0,0,0,-0.253302561284555,0,0,0,0,0,0,0,0,7.18415009316749,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1037DTMERRICKBACKCOUNTRYCR_ROM","Dog Treats","Dollar General","DT MERRICK BACKCOUNTRY CR 10OZ+",-2.5,7.49462684191743,-1.25191483611627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28598687936899,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1038DTMERRICKFRSKSSDT_ROM","Dog Treats","Dollar General","DT MERRICK FRS KSS DT 09.5-11.5OZ",-1.83250759245089,3.92427105280969,0,0,0,0,0,0,0,0,0,0,0.0504406112419099,0,0,0,0,0,0,0,0,5.93389488488774,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1039DDBEYONDGRFR_ROM","Dry Dog","Dollar General","DD BEYOND GR FR 23LB",0,0.642274769615581,0,-0.160149211022526,0,0,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,4.05875754294632,"ROM",0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,1
"ITEM1039DTMERRICKFRSKSSDT_ROM","Dog Treats","Dollar General","DT MERRICK FRS KSS DT 05.5-6.5OZ",-1.16744818280095,1.59370655672384,-0.0103251048168077,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9715712938637,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1040DTMERRICKFRSKSSDT_ROM","Dog Treats","Dollar General","DT MERRICK FRS KSS DT 23.0-27OZ",0,9.6404372312672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.879104638629135,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1043DTMERRICKPOWERBITESMT_ROM","Dog Treats","Dollar General","DT MERRICK POWER BITES MT 06OZ",-0.821819882656067,0.802737481577094,-0.0168005124111349,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.66043375974899,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1052DDDOGCHOWGREENBG_ROM","Dry Dog","Dollar General","DD DOG CHOW GREEN BG 42-46LB",0,1.87035485274006,0,0,11.1562449486235,0.0949928908042146,1.21064714705578,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,8.24139869476476,"ROM",0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,2
