"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","rhat","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item","Brand","size_cuts","price_cuts","grp_based_on","Model_type"
"ITEM14CTTEMPTATIONSCR","Cat Treats","NPP","ITEM513CTFANCYFEASTPUREFLAKED_ROM","CT FANCY FEAST PURE FLAKED 01.06OZ",0.658228982155582,0.0272323435307672,0.00387622982468746,"ITEM14CTTEMPTATIONSCR_Retailer_RegularPrice",0.614252887883045,0.109707302654474,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Dollar General","ROM","ROM","ITEM513CTFANCYFEASTPUREFLAKED","Retailer","Regular Price",NA,NA,1,NA,NA,NA,"CB_Comp_RP_1","CT TEMPTATIONS CR 02.1-3OZ",NA,NA,NA,NA,NA
"ITEM18CTTEMPTATIONSCR","Cat Treats","NPP","ITEM35CTKITKABOODLECR_ROM","CT KIT KABOODLE CR 04OZ",0.873490443281231,1.51372623133864,0.120359609507529,"ITEM18CTTEMPTATIONSCR_Retailer_PromotedDiscount",-4.97664888565037,1.36548928535411,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Dollar General","ROM","ROM","ITEM35CTKITKABOODLECR","Retailer","Promoted Discount",NA,NA,NA,NA,1,NA,"CB_Comp_TPR_1","CT TEMPTATIONS CR 14-16OZ",NA,NA,NA,NA,NA
"ITEM18CTTEMPTATIONSCR","Cat Treats","NPP","ITEM473CTDENTALIFEDNT_ROM","CT DENTALIFE DNT 19OZ",0.820167167173476,0.770924215318409,0.0713841969799983,"ITEM18CTTEMPTATIONSCR_Retailer_PromotedDiscount",-2.63316852765036,0.998281445719596,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Dollar General","ROM","ROM","ITEM473CTDENTALIFEDNT","Retailer","Promoted Discount",NA,NA,NA,NA,1,NA,"CB_Comp_TPR_1","CT TEMPTATIONS CR 14-16OZ",NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.831154971688029,0,0,"wk_sold_median_base_price_byppg_log",-1.35928524350374,0.0368195236312475,"No Change",-1.63276505432101,0.337865594870314,1.00006889795068,NA,NA,NA,"1st Pass","No Change",2,"Dollar General","ROM","ROM","ITEM1CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.831154971688029,0,0,"ACV_Feat_Only",0.515230672993027,0.0368195236312475,"No Change",-1.63276505432101,0.337865594870314,1.00005829551545,NA,NA,NA,"1st Pass","No Change",2,"Dollar General","ROM","ROM","ITEM1CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.831154971688029,0,0,"ACV_Disp_Only",2.14772277512219,0.0368195236312475,"No Change",-1.63276505432101,0.337865594870314,1.00012097984787,NA,NA,NA,"1st Pass","No Change",2,"Dollar General","ROM","ROM","ITEM1CTFRISKIESPARTYMIXCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.831154971688029,0,0,"ACV_Feat_Disp",3.43904287828912,0.0368195236312475,"No Change",-1.63276505432101,0.337865594870314,1.00007239789552,NA,NA,NA,"1st Pass","No Change",2,"Dollar General","ROM","ROM","ITEM1CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Disp",NA,NA,NA,NA,NA,NA,"ACV_Feat_Disp","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.831154971688029,0,0,"ACV_Selling",1.3576671664245,0.0368195236312475,"No Change",-1.63276505432101,0.337865594870314,0.99997845833191,NA,NA,NA,"1st Pass","No Change",2,"Dollar General","ROM","ROM","ITEM1CTFRISKIESPARTYMIXCR","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.831154971688029,0,0,"flag_qtr2",-0.0234331753118388,0.0368195236312475,"No Change",-1.63276505432101,0.337865594870314,0.999977860326496,NA,NA,NA,"1st Pass","No Change",2,"Dollar General","ROM","ROM","ITEM1CTFRISKIESPARTYMIXCR","ROM","flag_qtr2",NA,NA,NA,NA,NA,NA,"flag_qtr2","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.831154971688029,0,0,"flag_qtr3",-0.0155212286615457,0.0368195236312475,"No Change",-1.63276505432101,0.337865594870314,1.00009179139141,NA,NA,NA,"1st Pass","No Change",2,"Dollar General","ROM","ROM","ITEM1CTFRISKIESPARTYMIXCR","ROM","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
