"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM1134DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Dollar General","ALPO",NA,0,0.783428030629093,0.770103418508782,0.77804964386597,0.767043460618744,0.78706551157946,0.776091466960874,0.563584538369658,0.484692920935774
1113200040,"Retailer","DD ALPO 04LB","ITEM1134DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Dollar General","ALPO",2.84938111141802,0.21,1,1,1,1,1,1,1,1
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM210ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Dollar General","ALPO",NA,0,0.576772398810896,0.56913725409055,0.580989026224441,0.581144619077364,0.618514247029389,0.595672717437561,0.600520988826321,0.572409318985023
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM113ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","Dollar General","ALPO",NA,0,1,1,1,1,1,1,1,1
1113200681,"Retailer","DT ALPO VARIETY SNAPS CR 16OZ","ITEM113ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","Dollar General","ALPO",1.57012739361376,0.0949200224379133,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM1457DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","Dollar General","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.00130815740730286,0.000180764996127514,0.000123299086920478,0.0000277894122812217,0.00000167853054668108,0.0000227257212666558,0,0.000661795105776138
1113210840,"Retailer","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Dollar General","ALPO",0.76000989848233,0.13,0.000442163890086117,0.000069283983761953,0.0000378545947313689,0.0000201012121351479,0.00000684038766388631,0.00000322723669582699,0.0000201077859365968,0.000255315150809553
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.0000470150562265587,0.00000541703305574275,0.000000614535067736311,0,0,0,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM416DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Dollar General","ALPO",NA,0,0.0000387230545562938,0.00000210348312847402,0,0,0,0,0,0
1113211169,"ROM","DD ALPO 15LB","ITEM1456DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 15 POUND","Dollar General","ALPO",NA,0,0.0185873605947955,0.0115830115830116,0,0,0,0,0.0454959053685168,0.0407331975560081
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.000214408689074296,0.0000844038940740405,0.0000128274977363939,0.0000363139557482756,0.000159121618519364,0.0000414492730291983,0,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.000238458425944388,0.000131432743517006,0.0000103122057041492,0.00000118697301730829,0.000000559510182227028,0.00000229219330132492,0,0.000013972239116988
1113212516,"Retailer","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Dollar General","ALPO",0.759992813297935,0.13,0.000962952883075335,0.0000873729056308373,0.0000385366595013034,0.0000260963104912446,0.0000107066937347786,0.00000179290927545944,0.0000160862287492775,0.0000510630301619107
1113212518,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD BEEF WET CAN 22 OUNCE","Dollar General","ALPO",NA,0,0,0,0,0,0,0,0,0.000013972239116988
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.00117897542777056,0.000380886029223031,0.000133286818108862,0.0000355237284620026,0.00000475583654892974,0.00000183375464105994,0.00000865291609848735,0.000111777912935904
1113212534,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.00202349701049829,0.000584922226839983,0.00016721099745311,0.0000451049746577151,0.00000727363236895136,0.00000641814124370978,0.0000951820770833609,0.000119756061471704
1113212541,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.000185915630337955,0.0000531375243123584,0.0000122907013547262,0.00000356091905192488,0.00000223804072890811,0.00000504282526291482,0.0000346116643939494,0.000111777912935904
1113212544,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.0023992730628465,0.00073694373158083,0.000175224227468857,0.0000568441377988941,0.000000839265273340542,0,0.00000432645804924368,0
1113212547,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD LAMB AND RICE WET CAN 22 OUNCE","Dollar General","ALPO",NA,0,0,0,0,0.00000497608763181069,0.000000279755091113514,0,0,0
1113212552,"ROM","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Dollar General","ALPO",NA,0,0.00268699770613177,0.000733279085436243,0.00012326989650476,0.0000940628637296129,0.0000485131696152678,0.0000730810821488219,0.00000432645804924368,0.000125750152052892
1113212552,"Retailer","DW ALPO 13.0-13.2OZ","ITEM417DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Dollar General","ALPO",0.76,0.13,0.000734251573344943,0.0000885128490089896,0.0000443342100457473,0.0000426709941816297,0.00000636453460900726,0.00000645447339165397,0.0000120646715619581,0.000255315150809553
