"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","WB_Comp_Interaction_TPR_1","WB_Comp_RP_6","CB_Comp_RP_3","CB_Comp_TPR_4","CB_Comp_TPR_5"
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Family Dollar",NA,1250.14285714286,0,NA,5.67266207908512,5.83640474237275,0.207738095238095,0,0,0,0.00006,1.25605404725319,0.223499273714791,0.237477336850157,35,0.357142857142857,0.353336015179053,1,NA,NA,NA,NA,NA,NA,NA,NA,0.00380684196380385,1.06209863406561,0.0129013659343917,0.0109134287647054,NA,NA,0,0.840976433939424,0,NA,5.14244382832083,1.34191632859246,2.00357142857143,0,1.98221504515449,2.00357142857143,0.0114166975685082,0.0114166975685082,NA,NA,1.34191632859246,5.14244382832083,1.06785714285714,5.83603271856323,"2022-12-31",NA,5.61,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Family Dollar",NA,1170,0,NA,5.6400615005753,6,0.244825780796856,0,0,0,0.000181538461538462,1.16817517555793,0.2278522039758,0.212798905214636,31.9230769230769,1.15384615384615,1.12562567037522,1,NA,NA,NA,NA,NA,NA,NA,NA,0.0282204834709385,4.71210654966689,0.134047296486958,0,NA,NA,0,2.72421999636934,0,NA,10.3286397216123,2.44170302428916,6.47307692307692,0,6.31476001080496,6.47307692307692,0.123041307933292,0.123041307933292,NA,NA,2.44170302428916,10.3286397216123,1.91034006302057,6,"2022-09-24",NA,5.61,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Family Dollar",NA,540,0,NA,5.9070039569861,5.90384615384615,0.310167566351777,0,0,0,0.000393846153846154,1.10630777717621,0.374030814215025,0.450270130454341,28.9230769230769,3.07692307692308,2.51158846098904,1,NA,NA,NA,NA,NA,NA,NA,NA,0.565334615934034,9.45790329068476,1.91825055546909,0.999685083358105,NA,NA,0,5.45048276957794,0,NA,13.8236083485048,4.15284588684134,17.2615384615385,0,14.0900112661485,17.2615384615385,2.10468393968006,2.10468393968006,NA,NA,4.15284588684134,13.8236083485048,6.43441231428728,5.90384615384615,"2022-06-25",NA,5.61,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Family Dollar",NA,540,0,NA,7.9052522070615,7.8046875,0.550998572385589,0,0,0,0.0005775,1.07757855466302,0.489136619523636,0.421040554708821,26,3.91666666666667,3.80451298938931,1,NA,NA,NA,NA,NA,NA,NA,NA,0.112153677277359,16.3220528446429,0.82961382202372,0.723857236585008,NA,NA,0,11.1525904911734,0,NA,23.9956551451262,8.03042741958375,21.9725,0,21.343317870474,21.9725,0.504067091322249,0.504067091322249,NA,NA,8.03042741958375,23.9956551451262,14.6633879223074,7.79322916666667,"2022-03-26",NA,5.61,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,9.80027664767896,9.74478304404028,0,0.00150214285714286,0.00133071428571429,0.000106428571428571,0.468982142857143,1.25605404725319,0,0,35,69803.92,69187.0910523157,2,NA,NA,NA,NA,NA,NA,NA,NA,616.828947684316,672815.828832626,5988.13452451732,5988.13452451732,NA,NA,0,0,0,NA,686283.02358653,70570.5738306487,NA,0,NA,NA,NA,NA,NA,NA,70570.5738306487,686283.02358653,5304.81756468347,9.72513920416383,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,9.70990734348148,9.62969118732548,0,0,0.00299846153846154,0,0.466644615384615,1.16817517555793,0,0,31.9230769230769,68841.1525384615,68590.0426061684,2,NA,NA,NA,NA,NA,NA,NA,NA,251.109932293146,660496.868021407,2405.98790166951,2405.98790166951,NA,NA,0,0,0,NA,669259.018201471,69499.7792994747,NA,0,NA,NA,NA,NA,NA,NA,69499.7792994747,669259.018201471,5497.52797045732,9.62961612761437,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,9.00270675984179,8.96478109769449,0,0.00035,0.0103723076923077,0,0.479075384615385,1.10630777717621,0,0,28.9230769230769,74496.7376923077,72542.2724422823,2,NA,NA,NA,NA,NA,NA,NA,NA,1954.46525002545,649933.107467661,17483.4952246461,17483.4952246461,NA,NA,0,0,0,NA,650668.041404701,72624.8988786891,NA,0,NA,NA,NA,NA,NA,NA,72624.8988786891,650668.041404701,2945.94682039323,8.96370508769347,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,8.46168398160613,8.44996844823744,0,0.0035025,0.00708833333333333,0.000169166666666667,0.483956666666667,1.07757855466302,0,0,26,76031.1691666667,74108.5296900147,2,NA,NA,NA,NA,NA,NA,NA,NA,1922.63947665196,625965.219814877,16151.365685123,16151.365685123,NA,NA,0,0,0,NA,627860.408302495,74324.2055314315,NA,0,NA,NA,NA,NA,NA,NA,74324.2055314315,627860.408302495,905.872638689831,8.44996844823744,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,1,"Retailer","Family Dollar",NA,3604,2164,NA,3.71940254540006,3.69540208561261,0,0,0.00294714285714286,0,0.285555357142857,1.25605404725319,0,0,35,3803,3803,1,8.64984054232354,NA,NA,NA,2.45321389410721,1.47336651242385,NA,NA,0,14037.1871428571,0,0,NA,NA,0,0,4139.05169495779,NA,40398.4164064609,10871.2005393845,8518.72,176.565714285714,8518.72,8342.15428571428,0,0,NA,NA,12067.5807725735,44537.4681014187,108.008900192295,3.69102122538552,"2022-12-31",0.08,2.24,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,1,0,"Retailer","Family Dollar",NA,3136.61538461538,3136.61538461538,NA,3.7270998734687,3.70782988445211,0,0,0.000242307692307692,0,0.259299230769231,1.16817517555793,0,0,31.9230769230769,3259.69230769231,3012.80876905004,1,8.65407340999086,NA,NA,NA,2.45756176053362,1.49888724767478,NA,NA,246.883538642265,11165.0761597643,905.689994081834,905.689994081834,NA,NA,0,0,1658.08924888023,NA,14061.7113379979,3772.87259067709,7301.71076923077,260.775384615385,6748.69164267209,7040.93538461538,552.583281745481,552.583281745481,NA,NA,4246.03262048977,15719.8005868781,78.3589262270947,3.70304356103607,"2022-09-24",0.08,2.24,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
