"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within_non_normalised","Cross_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","WB_Comp_Interaction_TPR_1","WB_Comp_RP_6","CB_Comp_RP_3","CB_Comp_TPR_4","CB_Comp_TPR_5"
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Family Dollar",NA,1250.14285714286,0,NA,6,6,0.207738095238095,0,0,0,0.00017,1.25605404725319,0.223499273714791,0.237477336850157,35,0.118725697638144,0.118725697638144,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.470770670716366,0,2.00357142857143,0,0.317654617599737,2.00357142857143,0.852136972308874,0.852136972308874,0.0772809410438989,0,0,NA,NA,0.2415835151125,5.99962797619048,"2022-12-31",NA,5.61,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Family Dollar",NA,1170,0,NA,6,6,0.244825780796856,0,0,0,0.00017,1.16817517555793,0.2278522039758,0.212798905214636,31.9230769230769,0.219541688874647,0.219541688874647,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0.928682557093806,0,6.47307692307692,0,0.911508824165131,6.47307692307692,3.83196929855946,3.83196929855946,0.244943735138767,0,0,NA,NA,0.388567576154075,6,"2022-09-24",NA,5.61,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Family Dollar",NA,540,0,NA,6,6,0.310167566351777,0,0,0,0.00017,1.10630777717621,0.374030814215025,0.450270130454341,28.9230769230769,0.371073530211437,0.371073530211437,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1.24976568501517,0,17.2615384615385,0,1.98299316786395,17.2615384615385,9.61459961409804,9.61459961409804,0.4900711431783,0,0,NA,NA,0.976675496253449,6,"2022-06-25",NA,5.61,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Family Dollar",NA,540,0,NA,6,6,0.550998572385589,0,0,0,0.00017,1.07757855466302,0.489136619523636,0.421040554708821,26,0.830554256893253,0.830554256893253,1,NA,NA,NA,NA,NA,NA,NA,NA,0,1.87425343785541,0,21.9725,0,4.60535565046492,21.9725,9.43682068369159,9.43682068369159,0.923447874996804,0,0,NA,NA,3.10907210350411,5.99191770756797,"2022-03-26",NA,5.61,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Family Dollar",NA,NA,NA,NA,9.76505583728901,9.76505583728901,0,0,0,0,0.474015,1.25605404725319,0,0,35,68095.9028110212,68095.9028110212,2,NA,NA,NA,NA,NA,NA,NA,NA,0,664960.293240228,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.76505583728901,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Family Dollar",NA,NA,NA,NA,9.76505583728901,9.76505583728901,0,0,0,0,0.474015,1.16817517555793,0,0,31.9230769230769,66180.9767438241,66180.9767438241,2,NA,NA,NA,NA,NA,NA,NA,NA,0,646260.933269768,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.76505583728901,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Family Dollar",NA,NA,NA,NA,9.76505583728901,9.76505583728901,0,0,0,0,0.474015,1.10630777717621,0,0,28.9230769230769,63452.7964133541,63452.7964133541,2,NA,NA,NA,NA,NA,NA,NA,NA,0,619620.100008535,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.76505583728901,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"ROM","Family Dollar",NA,NA,NA,NA,9.76505583728901,9.76505583728901,0,0,0,0,0.474015,1.07757855466302,0,0,26,63035.8381329541,63035.8381329541,2,NA,NA,NA,NA,NA,NA,NA,NA,0,615548.479118609,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,9.76505583728901,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,0,1,"Retailer","Family Dollar",NA,3604,2164,NA,3.6949014545028,3.6949014545028,0,0,0,0,0.28856,1.25605404725319,0,0,35,250937.331681986,229502.342583372,1,8.68731189851268,NA,NA,NA,2.46291590578035,1.4872539440164,NA,NA,21434.9890986136,847735.507671299,78432.5185115869,8518.72,176.565714285714,8518.72,8342.15428571428,0,0,0,0,78432.5185115869,NA,NA,1020.68563793512,3.69052248698485,"2022-12-31",0.08,2.24,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ","Cat Treats","NPP",0,1,0,"Retailer","Family Dollar",NA,3136.61538461538,3136.61538461538,NA,3.6949014545028,3.6949014545028,0,0,0,0,0.28856,1.16817517555793,0,0,31.9230769230769,115434.252324105,78163.1012904197,1,8.68731189851268,NA,NA,NA,2.46291590578035,1.4872539440164,NA,NA,37271.1510336849,288804.956646421,137166.430489044,7301.71076923077,260.775384615385,7301.71076923077,7040.93538461538,0,0,0,0,137166.430489044,0,0,546.799676312293,3.69013219147453,"2022-09-24",0.08,2.24,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
