"Brand","PPG_Item","Category","Market","Retailer","Feature_Spend","Display_Spend"
"A/O Brand","DC C&P ORGANIX 03-4LB","Dry Cat","ROM","Family Dollar",0,0
"A/O Brand","DC C&P PRISTINE 03LB","Dry Cat","ROM","Family Dollar",0,0
"A/O Brand","CW C&P PRISTINE 05.5OZ CAN","Wet Cat","ROM","Family Dollar",0,0
"A/O Brand","DW C&P PRISTINE 03.5OZ","Wet Dog","ROM","Family Dollar",0,0
"A/O Brand","DW C&P PRISTINE 12.7OZ","Wet Dog","ROM","Family Dollar",0,0
"A/O Brand","DD C&P ORGANIX 10LB","Dry Dog","ROM","Family Dollar",0,0
"A/O Brand","DD C&P ORGANIX 04LB","Dry Dog","ROM","Family Dollar",0,0
"A/O Brand","DD C&P ORGANIX 18LB","Dry Dog","ROM","Family Dollar",0,0
"A/O Brand","DD C&P PRISTINE 10LB","Dry Dog","ROM","Family Dollar",0,0
"A/O Brand","DD C&P PRISTINE 04LB","Dry Dog","ROM","Family Dollar",0,0
"A/O Brand","DW C&P ORGANIX 03.5OZ","Wet Dog","ROM","Family Dollar",0,0
"A/O Brand","DW C&P ORGANIX 12.7OZ","Wet Dog","ROM","Family Dollar",0,0
"A/O Brand","DT ZUKE'S PET SUPPLEMENT 05OZ","Dog Treats","ROM","Family Dollar",0,0
"A/O Brand","DT ZUKES LIL LINK MT 06OZ","Dog Treats","ROM","Family Dollar",0,0
"A/O Brand","DT ZUKES PPY NTR MT 05OZ","Dog Treats","ROM","Family Dollar",0,0
"A/O Brand","CW C&P PRISTINE 03OZ CAN","Wet Cat","ROM","Family Dollar",0,0
"A/O Brand","DT ZUKES CRNCHY NTRLS 09-12OZ","Dog Treats","ROM","Family Dollar",0,0
"A/O Brand","DW C&P PRISTINE BONE BROTH 8.4OZ","Wet Dog","ROM","Family Dollar",0,0
"A/O Brand","DT C&P GOOD BUDDY MT 04.5-5OZ","Dog Treats","ROM","Family Dollar",0,0
"A/O Brand","DT ZUKES Z-BONES DR 08-15OZ","Dog Treats","ROM","Family Dollar",0,0
"A/O Brand","CW C&P ORGANIX 03OZ","Wet Cat","ROM","Family Dollar",0,0
"A/O Brand","CW C&P ORGANIX 05.5OZ","Wet Cat","ROM","Family Dollar",0,0
"A/O Brand","DD C&P PRISTINE 18LB","Dry Dog","ROM","Family Dollar",0,0
"A/O Brand","DT C&P GOOD BUDDY CR 16OZ","Dog Treats","ROM","Family Dollar",0,0
"A/O Brand","DT C&P PRISTINE MT 04.5-5OZ","Dog Treats","ROM","Family Dollar",0,0
"A/O Brand","DT C&P ORGANIX CR 12OZ","Dog Treats","ROM","Family Dollar",0,0
"Alpo","DD ALPO 37-41LB","Dry Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DT ALPO VARIETY SNAPS CR 32OZ","Dog Treats","Retailer","Family Dollar",1533.35,2500
"Alpo","DD ALPO 04LB","Dry Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DD ALPO 17.6LB","Dry Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DD ALPO 04LB","Dry Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DT ALPO VARIETY SNAPS CR 16OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DT ALPO DT 08.8OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DT ALPO VARIETY SNAPS CR 128OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DD ALPO 28-31LB","Dry Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DT T BONZ MT 04.5OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DD ALPO 14LB","Dry Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DT ALPO DT 01.6OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DW ALPO 13.2OZ 12CT","Wet Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DT ALPO VARIETY SNAPS CR 60OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DT ALPO TWIST-ABLES MT 05.5OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DW ALPO 13.2OZ 12CT","Wet Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DT T BONZ MT 40OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DD ALPO 01LB","Dry Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DT T BONZ MT 04.5OZ","Dog Treats","Retailer","Family Dollar",1533.35,2500
"Alpo","DD ALPO 28-31LB","Dry Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DD ALPO 15LB","Dry Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DT T BONZ MT 45OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DT T BONZ MT 10OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DD ALPO 14LB","Dry Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DW ALPO 13.2OZ 24CT","Wet Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DT ALPO DT 21OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Alpo","DW ALPO 13.2OZ 06CT","Wet Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DD ALPO 47-50LB","Dry Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DD ALPO 01LB","Dry Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DD ALPO 16LB","Dry Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DW ALPO 13.0-13.2OZ","Wet Dog","ROM","Family Dollar",1533.35,2500
"Alpo","DW ALPO 13.0-13.2OZ","Wet Dog","Retailer","Family Dollar",1533.35,2500
"Alpo","DT ALPO DT 04.3OZ","Dog Treats","Retailer","Family Dollar",1533.35,2500
"Alpo","DT ALPO VARIETY SNAPS CR 32OZ","Dog Treats","ROM","Family Dollar",1533.35,2500
"Beggin'","DT BEGGIN MT 06OZ","Dog Treats","Retailer","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT LIMITED ED 5OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT 32OZ 2CT","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT 48OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT 25OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT 06OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN FUN SIZE MT 01.3OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT 03OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN FUN SIZE MT 15OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT 08.5-9OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT 40OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN MT 32OZ","Dog Treats","ROM","Family Dollar",1396.02142045455,2500
"Beggin'","DT BEGGIN FUN SIZE MT 01.3OZ","Dog Treats","Retailer","Family Dollar",1396.02142045455,2500
"Bella","DD BELLA 03LB","Dry Dog","Retailer","Family Dollar",0,0
"Bella","DD BELLA 03LB","Dry Dog","ROM","Family Dollar",0,0
"Bella","DD BELLA 12LB","Dry Dog","ROM","Family Dollar",0,0
"Bella","DW BELLA 03.5OZ","Wet Dog","Retailer","Family Dollar",0,0
"Bella","DW BELLA 03.5OZ","Wet Dog","ROM","Family Dollar",0,0
"Bella","DW BELLA 03.5OZ 12CT","Wet Dog","Retailer","Family Dollar",0,0
"Bella","DW BELLA 03.5OZ 12CT","Wet Dog","ROM","Family Dollar",0,0
"Beneful","DT BENEFUL BAKED CR 08.5-9.5OZ","Dog Treats","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL 10OZ 06CT","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DT BENEFUL BAKED CR 32-36OZ","Dog Treats","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DT BENEFUL BAKED CR 19.5-22OZ","Dog Treats","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL 10OZ","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL 40LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DD BENEFUL PREMIUM 09.4-12.5LB","Dry Dog","ROM","Family Dollar",2500,1020.89666666667
"Beneful","DW BENEFUL 03OZ 12CT","Wet Dog","ROM","Family Dollar",2500,1020.89666666667
