"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","CB_Comp_TPR_3","WB_Comp_RP_6","CB_Comp_RP_3","WB_Comp_Interaction_TPR_1","CB_Comp_TPR_4","CB_Comp_TPR_5","Model_flag"
"ITEM1021DDPROPLANBRIGHTMINDS_ROM","Dry Dog","Family Dollar","DD PRO PLAN BRIGHT MINDS 04-5LB",0,0.65675200150236,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06699005008153,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"ITEM1027DDBEYONDGRFR_ROM","Dry Dog","Family Dollar","DD BEYOND GR FR 23LB",0,0,-1.16239393284271,-0.469381551272128,0,4.44572791397493,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.00414227480259,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"ITEM1037DTMERRICKBACKCOUNTRYCR_ROM","Dog Treats","Family Dollar","DT MERRICK BACKCOUNTRY CR 10OZ+",-2.5,6.60124874449451,-1.115791309875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,7.50451733300204,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1038DTMERRICKFRSKSSDT_ROM","Dog Treats","Family Dollar","DT MERRICK FRS KSS DT 09.5-11.5OZ",-2.27148801901316,3.99784411810014,0,0,0,0,0,0,0,0,0,0,0.0210711168100883,0.832009572037664,0,0,0,0.789734811751869,NA,0,0,6.03380980071801,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1039DTMERRICKFRSKSSDT_ROM","Dog Treats","Family Dollar","DT MERRICK FRS KSS DT 05.5-6.5OZ",-1.19985680884232,1.63839042592583,-0.0610353309129109,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,6.30026437174206,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1040DDDOGCHOWGREENBG_ROM","Dry Dog","Family Dollar","DD DOG CHOW GREEN BG 42-46LB",0,1.77649476590632,0,-0.74905883996223,10,0,9.59092448299053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.31492509868601,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"ITEM1040DTMERRICKFRSKSSDT_ROM","Dog Treats","Family Dollar","DT MERRICK FRS KSS DT 23.0-27OZ",0,9.31947670673085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0.882361231098854,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1041DDBENEFULPREMIUM_ROM","Dry Dog","Family Dollar","DD BENEFUL PREMIUM 09.4-12.5LB",0,1.31285378091538,0,-2.57817079113487,7.28111952452802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19825340775631,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"ITEM1043DTMERRICKPOWERBITESMT_ROM","Dog Treats","Family Dollar","DT MERRICK POWER BITES MT 06OZ",-1.02252124745912,1.02099811500374,-0.451961166627369,-0.0475243642021484,0,10,0,0,0,0,0,0,0,0,0,0,-0.153081992065968,0.802030567050304,NA,0,0,5.35204149485137,"ROM",0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1048DDMOISTANDMEATY_ROM","Dry Dog","Family Dollar","DD MOIST AND MEATY 216OZ",-0.827673556297678,0,0,0,0,0,0,0,1.44651027285545,0,0,-0.00814368096769038,0.00140952699227158,0,0,0,0,0,0,-0.0231245868065125,0,11.0541778993993,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,2
"ITEM1052DDPUPPYCHOW_ROM","Dry Dog","Family Dollar","DD PUPPY CHOW 08.8LB",-2.5,0,-5.47644043371259,-4.5464138695125,0,10,0,0,-2.82957855649172,0,0,0,-0.0936352522717111,0,0,0,-3.57758000322477,0,0,0,0,16.5952268256068,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"ITEM1059DDPURINAONEMLTRGTD_ROM","Dry Dog","Family Dollar","DD PURINA ONE ML TRGTD 40LB",-0.73395646512819,0.83112223939154,-0.207714444167171,0,0,0.245755551655359,0,0,0.834409161553174,0.00530386583370051,0.00301349252321756,-0.0375389438878486,0.00798899741392143,0,0,0,0,0,0,0,0,11.1200907636085,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,2
"ITEM1060DDBEYONDGRFR_ROM","Dry Dog","Family Dollar","DD BEYOND GR FR 13LB",-2.5,0,-2.28773770194766,-1.09123157021092,0,10,10,0,-0.497129617365936,0,0,0,-0.00944534521482445,0,0,0,0,0,0,0,0,13.9783701126624,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"ITEM1067DDBEYONDSMP_ROM","Dry Dog","Family Dollar","DD BEYOND SMP9 14.5-15.5LB",-2.5,2.36013835770284,-0.114531541249309,0,0,10,10,0,0,0,0,0,-0.00810060515154559,0,0,0,0,0,0,0,0,13.9749399046666,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"ITEM1068DDPROPLANSPORTPERFORM_ROM","Dry Dog","Family Dollar","DD PRO PLAN SPORT PERFORM 37.5LB",-0.177736541100029,0,0,-1.20889972925677,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.99984121979991,"ROM",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,1
"ITEM1069DDALPO_Retailer","Dry Dog","Family Dollar","DD ALPO 01LB",-0.564539823570722,0.1,0,-0.505678167911833,10,0.0492954967402271,0,0,-0.11003472727788,0.0228998751680319,0.0363803078095289,-0.0564534534264784,0.0410634489523244,0,0,0,0,0,0,0,0,3.33653145233403,"Retailer",NA,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,0
"ITEM1069DDALPO_ROM","Dry Dog","Family Dollar","DD ALPO 01LB",0,1.09330533104375,-1.47813636871537,-3.51034193616907,0,0,0,10,-5.42885485176052,0,0,0,0,0,0,0,-8.0136304800253,0,0,0,0,13.865402994187,"ROM",NA,NA,-7.48229404476704,0,0,0,0,0,0,NA,0,NA,0,0,1
