"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1021DDPROPLANBRIGHTMINDS","Dry Dog","DD PRO PLAN BRIGHT MINDS 04-5LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1027DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 23LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1037DTMERRICKBACKCOUNTRYCR","Dog Treats","DT MERRICK BACKCOUNTRY CR 10OZ+","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1038DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 09.5-11.5OZ","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1039DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 05.5-6.5OZ","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1040DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 42-46LB","NPP","ROM","Family Dollar",1,"Dog Chow Line"
"ITEM1040DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 23.0-27OZ","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1041DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 09.4-12.5LB","NPP","ROM","Family Dollar",1,"Beneful"
"ITEM1043DTMERRICKPOWERBITESMT","Dog Treats","DT MERRICK POWER BITES MT 06OZ","NPP","ROM","Family Dollar",1,"Merrick"
"ITEM1048DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 216OZ","NPP","ROM","Family Dollar",2,"Moist & Meaty"
"ITEM1052DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 08.8LB","NPP","ROM","Family Dollar",1,"Dog Chow Line"
"ITEM1059DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 40LB","NPP","ROM","Family Dollar",2,"Purina One"
"ITEM1060DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 13LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1067DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 14.5-15.5LB","NPP","ROM","Family Dollar",1,"Beyond"
"ITEM1068DDPROPLANSPORTPERFORM","Dry Dog","DD PRO PLAN SPORT PERFORM 37.5LB","NPP","ROM","Family Dollar",1,"Pro Plan"
"ITEM1069DDALPO","Dry Dog","DD ALPO 01LB","NPP","Retailer","Family Dollar",0,"Alpo"
"ITEM1069DDALPO","Dry Dog","DD ALPO 01LB","NPP","ROM","Family Dollar",1,"Alpo"
"ITEM106CWPURINAONEML","Wet Cat","CW PURINA ONE TRU INST 03OZ 12CT","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1072DDPURINAONETRUINSTGF","Dry Dog","DD PURINA ONE TRU INST GF 03LB","NPP","ROM","Family Dollar",1,"Purina One"
"ITEM1073DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 012OZ","NPP","Retailer","Family Dollar",2,"Moist & Meaty"
"ITEM1073DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 012OZ","NPP","ROM","Family Dollar",1,"Moist & Meaty"
"ITEM1074DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 01LB","NPP","Retailer","Family Dollar",1,"Dog Chow Line"
