"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM14CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",8.7,7,10,100,10,0,4,38.0831474968057,6.76656956580869,0,0,0,0,0,0.047,0,0,5,7,5.6,0,7,0,0.017,1,1,0,1,0,1,0,"Family Dollar","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.898891692729336,0.718342587568227,1,52,0,0,1
"ITEM14CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.8,8,11,0,11,0,6,0,8.62535340050643,0.278,6.237,0,6.699,0,2.008,0,1.306,0,8.62535340050643,0,0,8.62535340050643,0,47.561,1,0,0,0,1,1,1,"Family Dollar","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0.0262540119494202,2,0,0,1,1
"ITEM18CTKITKABOODLECR_Retailer","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.7,3,5,26,5,0,2,11.4732836020109,3.28431007358847,0,9.516,0,26.897,0,1.667,0,0,1,3,2.1,0,1,0.1,29.825,1,1,1,1,1,1,0,"Family Dollar","Retailer","CT KIT KABOODLE CR 09OZ",NA,NA,1,4,0,0,0
"ITEM27CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.9,1,3,0,3,0,1,0,1.72447428127516,1.215,11.662,0,8.51,0,1.475,0,0.947,0,1.72447428127516,0,0,1.72447428127516,0,48.6985,1,0,1,0,1,1,1,"Family Dollar","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0.0375127603809341,2,0,0,1,0
"ITEM2CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,0,5,0,2,0,3.29028811541817,0.877,10.114,0,8.943,0,0.731,0,0.776,0,3.29028811541817,0,0,3.29028811541817,0,38.3885,1,0,1,0,1,1,1,"Family Dollar","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.8050177786473,0.0391782145079975,2,0,0,1,0
"ITEM39CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.5,2,3,12,3,0,1,8.92478543352316,2.14117065237287,0,1.516,0,0.921,0,0.215,0,0,0,2.14117065237287,0,0,2.14117065237287,0,19.2565,1,1,1,1,0,0,0,"Family Dollar","ROM","CT WHISKER LICKINS CR 04OZ",0.972693273625658,0.0696616925997012,2,7,0,0,0
"ITEM5109CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5.2,4,6,49,6,0,2,20.2583185355685,4.60029143076383,0.033,4.685,0,3.808,0,0.532,0,0.646,0,4.60029143076383,0,0,4.60029143076383,0,1.802,0,1,0,1,1,1,1,"Family Dollar","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",NA,NA,1,27,1,0,1
"ITEM5130CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 04OZ",1.6,1,2,100,2,0,-1,58.3111936665331,1.22692620006904,0,0.351,0,1.169,0,0.01,0,0,0,1.22692620006904,0,0,1.22692620006904,0,0,0,0,0,0,0,1,0,"Family Dollar","ROM","CT KIT KABOODLE CR 04OZ",NA,NA,1,54,1,1,1
"ITEM5131CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 02.4OZ",1,0,2,0,2,0,0,0,0.956473277452363,0,0.086,0,0,0,0.019,0,0,0,0.956473277452363,0,0,0.956473277452363,0,0.681,0,0,0,0,0,1,0,"Family Dollar","ROM","CT KIT KABOODLE CR 02.4OZ",NA,NA,1,0,1,1,1
"ITEM5159CTWHISKERLICKINSAO_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.6,3,4,12,4,0,2,8.05968939769667,3.04843722373074,0.106,4.949,0,6.624,0,1.015,0,0,0,3.04843722373074,0,0,3.04843722373074,0,9.181,1,1,1,1,1,1,0,"Family Dollar","ROM","CT WHISKER LICKINS AO",NA,NA,1,3,0,0,0
"ITEM542CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 19OZ",13,11,15,89,15,0,6,20.4206158594876,10.7444361924967,0,0.496,0,0.854,0,0.052,0,0.05,0,10.7444361924967,0,0,10.7444361924967,0,0.007,1,1,0,1,0,0,1,"Family Dollar","ROM","CT DENTALIFE DNT 19OZ",NA,NA,1,32,0,0,1
"ITEM54CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.2,2,3,11,3,0,1,7.34651337222386,1.94132177556945,0.054,1.528,0,1.109,0,0.267,0,0.138,0,1.94132177556945,0,0,1.94132177556945,0,2.719,1,1,0,1,1,1,0,"Family Dollar","ROM","CT DENTALIFE DNT 01.8OZ",NA,NA,1,17,0,0,1
"ITEM566CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 01.7OZ",1.3,1,2,6,2,0,0,5.17184341284629,1.07781325630649,0.017,3.288,0,3.027,0,0.21,0,0.116,0,1.07781325630649,0,0,1.07781325630649,0,5.93,1,0,0,0,1,1,1,"Family Dollar","ROM","CT WHISKER LICKINS CR 01.7OZ",NA,NA,1,1,0,1,1
"ITEM568CTFANCYFEASTPUREFLAKED_ROM","NPP","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ",3.8,3,5,6,5,0,3,5.3986116897887,3.68704921772315,0.264,5.098,0,5.874,0,0.077,0,0,0,3.68704921772315,0,0,3.68704921772315,0,12.024,1,1,0,1,1,1,0,"Family Dollar","ROM","CT FANCY FEAST PURE FLAKED 01.06OZ",NA,NA,1,1,0,0,1
"ITEM56CTBEYONDCR_ROM","NPP","Cat Treats","CT BEYOND CR 02.1OZ",2.2,1,3,22,3,0,1,9.59263224701218,1.98531102244941,0,1.17,0,1.093,0,0.048,0,0,0,1.98531102244941,0,0,1.98531102244941,0,0.082,0,1,0,1,1,0,0,"Family Dollar","ROM","CT BEYOND CR 02.1OZ",NA,NA,1,17,1,0,1
"ITEM58CTBEYONDCR_ROM","NPP","Cat Treats","CT BEYOND CR 06OZ",5.5,4,7,81,6,0,2,38.0907040112969,4.30065576042248,0,2.032,0,0.838,0,0.047,0,0,0,4.30065576042248,0,0,4.30065576042248,0,0.009,0,1,0,1,1,1,0,"Family Dollar","ROM","CT BEYOND CR 06OZ",NA,NA,1,64,1,0,1
"ITEM593CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 01OZ",2,1,3,14,3,0,1,9.514720267685,1.95089499731643,0.122,10.436,0,19.936,0,2.012,0,0.231,0,1.95089499731643,0,0,1.95089499731643,0,25.52,1,1,1,1,1,0,0,"Family Dollar","ROM","CT FANCY FEAST SAVORY CRAVINGS 01OZ",0.96058883675254,0.0817415956951788,2,9,0,0,0
"ITEM67CTFANCYFEASTDUOSCR_ROM","NPP","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ",2.1,1,3,84,3,0,1,24.115914079209,1.81281560994396,0,3.967,0,0.021,0,0.002,0,0,0,1.81281560994396,0,0,1.81281560994396,0,0.002,1,1,1,1,1,1,0,"Family Dollar","ROM","CT FANCY FEAST DUOS CR 02.1OZ",NA,NA,1,57,0,0,0
"ITEM71CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",14.2,12,16,0,16,0,10,0,12.6063178616873,0.074,1.883,0,3.505,0,0.322,0,0.063,0,12.6063178616873,0,0,12.6063178616873,0,29.14,1,0,1,0,1,1,1,"Family Dollar","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.584062345249736,0.0548188590414105,2,0,0,1,0
"ITEM80CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT",16.3,14,18,10,18,0,12,7.50177735905277,14.9224350221608,0,1.016,0,1.436,0,0.368,0,0.457,0,14.9224350221608,0,0,14.9224350221608,0,2.064,1,1,0,1,0,1,1,"Family Dollar","ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",NA,NA,1,4,0,0,1
"ITEM94CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",4.8,4,6,0,6,0,3,0,4.31727475542806,0.002,1.567,0,1.235,0,0.251,0,0.023,0,4.31727475542806,0,0,4.31727475542806,0,17.1015,0,0,1,0,0,1,0,"Family Dollar","ROM","CT WHISKER LICKINS CR 10OZ",NA,NA,1,0,1,1,0
"ITEM1037DTMERRICKBACKCOUNTRYCR_ROM","NPP","Dog Treats","DT MERRICK BACKCOUNTRY CR 10OZ+",11,9,13,40,12,0,5,23.2825092136207,9.15572664648837,0,0.006,0,0,0,0,0,0,0,9.15572664648837,0,0,9.15572664648837,0,0.004,1,1,0,1,0,0,0,"Family Dollar","ROM","DT MERRICK BACKCOUNTRY CR 10OZ+",NA,NA,1,65,0,0,1
"ITEM1038DTMERRICKFRSKSSDT_ROM","NPP","Dog Treats","DT MERRICK FRS KSS DT 09.5-11.5OZ",16.5,14,19,33,18,0,10,13.8451545130279,13.7926278875487,0,0.054,0,0,0,0,0,0,0,13.7926278875487,0,0,13.7926278875487,0,0.057,1,1,0,1,0,0,0,"Family Dollar","ROM","DT MERRICK FRS KSS DT 09.5-11.5OZ",NA,NA,1,45,0,0,1
"ITEM1039DTMERRICKFRSKSSDT_ROM","NPP","Dog Treats","DT MERRICK FRS KSS DT 05.5-6.5OZ",9.4,8,11,39,11,0,5,20.5204199062056,8.13606997763556,0,0.08,0,0.074,0,0.01,0,0,0,8.13606997763556,0,0,8.13606997763556,0,0.0675,1,1,0,1,1,1,0,"Family Dollar","ROM","DT MERRICK FRS KSS DT 05.5-6.5OZ",NA,NA,1,45,0,0,1
"ITEM1040DTMERRICKFRSKSSDT_ROM","NPP","Dog Treats","DT MERRICK FRS KSS DT 23.0-27OZ",33,29,37,26,37,0,24,15.8894085411144,30.4590416374416,0,0,0,0,0,0,0,0,0,30.4590416374416,0,0,30.4590416374416,0,0.003,0,1,0,1,0,0,0,"Family Dollar","ROM","DT MERRICK FRS KSS DT 23.0-27OZ",NA,NA,1,38,1,0,1
"ITEM1043DTMERRICKPOWERBITESMT_ROM","NPP","Dog Treats","DT MERRICK POWER BITES MT 06OZ",8.1,7,9,45,9,0,4,20.5684695683703,6.08729298061679,0,0.071,0,0.07,0,0,0,0,0,6.08729298061679,0,0,6.08729298061679,0,0.0775,1,1,0,1,1,0,0,"Family Dollar","ROM","DT MERRICK POWER BITES MT 06OZ",NA,NA,1,64,0,0,1
"ITEM1123DTPIONEERWOMANCR_ROM","NPP","Dog Treats","DT PIONEER WOMAN CR 09OZ",5.5,4,7,85,7,0,1,28.6371166993249,5.04281830805703,0,0.894,0,0.002,0,0,0,0,0,5.04281830805703,0,0,5.04281830805703,0,0,1,1,0,1,1,0,0,"Family Dollar","ROM","DT PIONEER WOMAN CR 09OZ",NA,NA,1,33,0,0,1
"ITEM1124DTPIONEERWOMANMT_ROM","NPP","Dog Treats","DT PIONEER WOMAN MT 16OZ",16.1,14,18,18,18,0,11,9.76700147454658,14.1189364187941,0,0.723,0,1.104,0,0.111,0,0.034,0,14.1189364187941,0,0,14.1189364187941,0,1.014,0,1,1,1,1,0,1,"Family Dollar","ROM","DT PIONEER WOMAN MT 16OZ",NA,NA,1,5,1,0,0
"ITEM1125DTPIONEERWOMANMT_ROM","NPP","Dog Treats","DT PIONEER WOMAN MT 30OZ",17.7,15,20,62,20,0,6,20.5485900004378,14.3532743747646,0,0.062,0,0,0,0.071,0,0,0,14.3532743747646,0,0,14.3532743747646,0,0.121,1,1,0,1,0,1,0,"Family Dollar","ROM","DT PIONEER WOMAN MT 30OZ",NA,NA,1,52,0,0,1
"ITEM1126DTPIONEERWOMANMT_ROM","NPP","Dog Treats","DT PIONEER WOMAN MT 05OZ",5.7,5,7,22,7,0,3,10.7614451974466,5.03273434344402,0,3.458,0,1.824,0,0.996,0,0.905,0,5.03273434344402,0,0,5.03273434344402,0,1.021,1,1,1,1,1,1,1,"Family Dollar","ROM","DT PIONEER WOMAN MT 05OZ",NA,NA,1,22,0,0,0
"ITEM1128DTPRIMEBONESCW_ROM","NPP","Dog Treats","DT PRIME BONES CW 09.7-11.5OZ",9.4,8,11,20,11,0,7,9.31319653112542,8.72176982168837,0.644,5.693,0,5.323,0,0.545,0,0.572,0,8.72176982168837,0,0,8.72176982168837,0,15.124,1,1,0,1,0,1,1,"Family Dollar","ROM","DT PRIME BONES CW 09.7-11.5OZ",NA,NA,1,12,0,0,1
