"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","rhat","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item","Brand","size_cuts","price_cuts","grp_based_on","Model_type"
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0,0,"wk_sold_median_base_price_byppg_log",-0.714906097840777,0.0262540119494202,"No Change",-0.372055659308987,0.183484720988144,1.00003821563503,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM14CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0,0,"ACV_Feat_Only",0.672764342142433,0.0262540119494202,"No Change",-0.372055659308987,0.183484720988144,1.00018832851949,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM14CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0,0,"ACV_Disp_Only",4.5873624149791,0.0262540119494202,"No Change",-0.372055659308987,0.183484720988144,0.999963063822718,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM14CTFRISKIESPARTYMIXCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0,0,"ACV_Feat_Disp",3.79586010137558,0.0262540119494202,"No Change",-0.372055659308987,0.183484720988144,0.999961245716843,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM14CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Disp",NA,NA,NA,NA,NA,NA,"ACV_Feat_Disp","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0,0,"flag_qtr3",0.0207576741996136,0.0262540119494202,"No Change",-0.372055659308987,0.183484720988144,0.999993795137349,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM14CTFRISKIESPARTYMIXCR","ROM","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0,0,"flag_qtr4",0.0157099827190038,0.0262540119494202,"No Change",-0.372055659308987,0.183484720988144,0.999954648416496,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM14CTFRISKIESPARTYMIXCR","ROM","flag_qtr4",NA,NA,NA,NA,NA,NA,"flag_qtr4","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0,0,"category_trend",0.446470457495365,0.0262540119494202,"No Change",-0.372055659308987,0.183484720988144,1.00001015978297,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM14CTFRISKIESPARTYMIXCR","ROM","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.652662017483935,0,0,"monthno",-0.00210053399768842,0.0262540119494202,"No Change",-0.372055659308987,0.183484720988144,1.0000191270926,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM14CTFRISKIESPARTYMIXCR","ROM","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.898891692729336,0.268613548807439,0.0452049598392004,"wk_sold_median_base_price_byppg_log",-0.55363106444685,0.718342587568227,NA,NA,NA,NA,"Across Retailers",1.1750060449803,NA,"2nd Pass","Zero TPR elasticity from 1st pass",1,"Family Dollar","Retailer","Retailer","ITEM14CTFRISKIESPARTYMIXCR","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.898891692729336,0.268613548807439,0.0452049598392004,"ACV_Disp_Only",10,0.718342587568227,NA,NA,NA,NA,"Across Retailers",1.1750060449803,NA,"2nd Pass","Zero TPR elasticity from 1st pass",1,"Family Dollar","Retailer","Retailer","ITEM14CTFRISKIESPARTYMIXCR","Retailer","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.898891692729336,0.268613548807439,0.0452049598392004,"tpr_discount_byppg_lag1",-0.496087429260105,0.718342587568227,NA,NA,NA,NA,"Across Retailers",1.1750060449803,NA,"2nd Pass","Zero TPR elasticity from 1st pass",1,"Family Dollar","Retailer","Retailer","ITEM14CTFRISKIESPARTYMIXCR","Retailer","Pantry Loading 1",NA,NA,NA,NA,NA,NA,"Pantry Loading 1","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.898891692729336,0.268613548807439,0.0452049598392004,"tpr_discount_byppg_lag2",-0.65634755617776,0.718342587568227,NA,NA,NA,NA,"Across Retailers",1.1750060449803,NA,"2nd Pass","Zero TPR elasticity from 1st pass",1,"Family Dollar","Retailer","Retailer","ITEM14CTFRISKIESPARTYMIXCR","Retailer","Pantry Loading 2",NA,NA,NA,NA,NA,NA,"Pantry Loading 2","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.898891692729336,0.268613548807439,0.0452049598392004,"monthno",-0.200742407881892,0.718342587568227,NA,NA,NA,NA,"Across Retailers",1.1750060449803,NA,"2nd Pass","Zero TPR elasticity from 1st pass",1,"Family Dollar","Retailer","Retailer","ITEM14CTFRISKIESPARTYMIXCR","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM14CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM14CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.898891692729336,0.268613548807439,0.0452049598392004,"tpr_discount_byppg",1.1750060449803,0.718342587568227,NA,NA,NA,NA,"Across Retailers",1.1750060449803,NA,"2nd Pass","Zero TPR elasticity from 1st pass",1,"Family Dollar","Retailer","Retailer","ITEM14CTFRISKIESPARTYMIXCR","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR","Cat Treats","NPP","ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ",0.840733185601752,2.26073924633837,0.112171017825567,"wk_sold_median_base_price_byppg_log",-0.770995122301259,1.07149365029968,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Family Dollar","Retailer","Retailer","ITEM18CTKITKABOODLECR","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT KIT KABOODLE CR 09OZ",NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR","Cat Treats","NPP","ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ",0.840733185601752,2.26073924633837,0.112171017825567,"tpr_discount_byppg",10,1.07149365029968,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Family Dollar","Retailer","Retailer","ITEM18CTKITKABOODLECR","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT KIT KABOODLE CR 09OZ",NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR","Cat Treats","NPP","ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ",0.840733185601752,2.26073924633837,0.112171017825567,"ACV_Feat_Only",0.553391391998449,1.07149365029968,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Family Dollar","Retailer","Retailer","ITEM18CTKITKABOODLECR","Retailer","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT KIT KABOODLE CR 09OZ",NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR","Cat Treats","NPP","ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ",0.840733185601752,2.26073924633837,0.112171017825567,"ACV_Disp_Only",10,1.07149365029968,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Family Dollar","Retailer","Retailer","ITEM18CTKITKABOODLECR","Retailer","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT KIT KABOODLE CR 09OZ",NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR","Cat Treats","NPP","ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ",0.840733185601752,2.26073924633837,0.112171017825567,"ACV_Selling",10,1.07149365029968,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Family Dollar","Retailer","Retailer","ITEM18CTKITKABOODLECR","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT KIT KABOODLE CR 09OZ",NA,NA,NA,NA,NA
"ITEM18CTKITKABOODLECR","Cat Treats","NPP","ITEM18CTKITKABOODLECR_Retailer","CT KIT KABOODLE CR 09OZ",0.840733185601752,2.26073924633837,0.112171017825567,"monthno",0.252195678110517,1.07149365029968,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Family Dollar","Retailer","Retailer","ITEM18CTKITKABOODLECR","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT KIT KABOODLE CR 09OZ",NA,NA,NA,NA,NA
"ITEM22CTTEMPTATIONSCR","Cat Treats","NPP","ITEM566CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS CR 01.7OZ",0.769174826771257,0.0329360421755653,0.00491524779056823,"ITEM22CTTEMPTATIONSCR_Retailer_PromotedDiscount",-1.67838244449749,0.144206004538766,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Family Dollar","ROM","ROM","ITEM566CTWHISKERLICKINSCR","Retailer","Promoted Discount",NA,NA,NA,NA,1,NA,"CB_Comp_TPR_1","CT TEMPTATIONS CR 02.1-3OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"wk_sold_median_base_price_byppg_log",-0.852621164082019,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,1.00001782063607,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"ACV_Feat_Only",0.444961764345812,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,1.00002273724476,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"ACV_Disp_Only",0.799912001759784,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,0.99992666314799,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"ACV_Feat_Disp",8.67901727280783,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,1.00004451001978,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Disp",NA,NA,NA,NA,NA,NA,"ACV_Feat_Disp","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"ACV_Selling",0.671896175094186,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,1.00008661720506,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"flag_qtr2",-0.0350751806610623,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,0.999946903404921,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","flag_qtr2",NA,NA,NA,NA,NA,NA,"flag_qtr2","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"flag_qtr3",-0.0210588082310708,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,0.999910610226152,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"flag_qtr4",0.00129289285345771,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,0.99990561066353,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","flag_qtr4",NA,NA,NA,NA,NA,NA,"flag_qtr4","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM27CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM27CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.679310009278975,0,0,"category_trend",0.295605842907455,0.0375127603809341,"No Change",-0.761750530454834,0.114925684669238,0.999981989758004,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM27CTFRISKIESPARTYMIXCR","ROM","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.8050177786473,0,0,"wk_sold_median_base_price_byppg_log",-1.51383073436545,0.0391782145079975,"No Change",-1.60053513617128,0.34747421339952,1.00000053081731,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM2CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.8050177786473,0,0,"ACV_Feat_Only",0.412269526338031,0.0391782145079975,"No Change",-1.60053513617128,0.34747421339952,0.999940921181369,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM2CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.8050177786473,0,0,"ACV_Disp_Only",3.42122218104713,0.0391782145079975,"No Change",-1.60053513617128,0.34747421339952,1.00006680897443,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM2CTFRISKIESPARTYMIXCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.8050177786473,0,0,"ACV_Feat_Disp",4.77717363663684,0.0391782145079975,"No Change",-1.60053513617128,0.34747421339952,1.00019201816858,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM2CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Disp",NA,NA,NA,NA,NA,NA,"ACV_Feat_Disp","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.8050177786473,0,0,"ACV_Selling",1.24096099644037,0.0391782145079975,"No Change",-1.60053513617128,0.34747421339952,0.999928881478414,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM2CTFRISKIESPARTYMIXCR","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.8050177786473,0,0,"flag_qtr2",-0.0256365129702208,0.0391782145079975,"No Change",-1.60053513617128,0.34747421339952,0.999960061767681,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM2CTFRISKIESPARTYMIXCR","ROM","flag_qtr2",NA,NA,NA,NA,NA,NA,"flag_qtr2","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
"ITEM2CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM2CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.8050177786473,0,0,"flag_qtr3",-0.0208428274989983,0.0391782145079975,"No Change",-1.60053513617128,0.34747421339952,1.00003531408847,NA,NA,NA,"1st Pass","No Change",2,"Family Dollar","ROM","ROM","ITEM2CTFRISKIESPARTYMIXCR","ROM","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,NA,NA,NA
