"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","WB_Comp_RP_4","CB_Comp_RP_3"
"ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,1,"Retailer","Fareway",NA,1506,0,NA,2.98076923076923,2.98076923076923,0,0,0,0,0,1.25998797085472,0,0,35,0,0,1,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,3.96550032440314,1.3303613991546,0,0,0,0,0,0,NA,NA,1.3303613991546,3.96550032440314,0,2.98076923076923,"2022-12-31",NA,1.21533864541833,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",0,1,0,"Retailer","Fareway",NA,1506,0,NA,2.98076923076923,2.98076923076923,0,0,0,0,0,1.16921518067552,0,0,31.9230769230769,0,0,1,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,4.13958691916592,1.38876464384921,0,0,0,0,0,0,NA,NA,1.38876464384921,4.13958691916592,0,2.98076923076923,"2022-09-24",NA,1.21533864541833,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",1,0,0,"Retailer","Fareway",NA,1506,0,NA,2.98617533901152,2.98943014258961,0,0,0,0,0,1.09375864101919,0,0,28.9230769230769,0,0,1,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,4.32459027939665,1.44817938017825,0,0,0,0,0,0,NA,NA,1.44817938017825,4.32459027939665,0,2.98617533901152,"2022-06-25",NA,1.21533864541833,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,0,"Retailer","Fareway",NA,1506,0,NA,2.99289316809472,2.99045034061273,0,0,0,0,0.0074875,1.06735187724629,0,0,26,1.66666666666667,0.882576937459377,1,NA,NA,NA,0.78408972920729,2.63890504300354,2.3444282903298,2.3444282903298,NA,NA,0,0,0,NA,4.77993464676562,1.5984163099302,2.02556440903055,0,1.07262985964933,2.02556440903055,0.95293454938121,0.95293454938121,NA,NA,1.5984163099302,4.77993464676562,0.00328149406750892,2.99045034061273,"2022-03-26",NA,1.21533864541833,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,3.60717335921194,3.57481648866157,0,0,0,0,0.199679642857143,1.25998797085472,0,0,35,268.4425,262.661534666072,2,NA,NA,NA,5.78096533392835,936.242286841372,20.6834988729137,20.6834988729137,NA,NA,0,0,0,NA,976.43537310094,273.936730699675,NA,0,NA,NA,NA,NA,NA,NA,273.936730699675,976.43537310094,11.3721196566188,3.56426657715201,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,3.55776491480424,3.53886284841742,0,0,0,0,0.214032307692308,1.16921518067552,0,0,31.9230769230769,284.849384615385,279.936370815348,2,NA,NA,NA,4.91301380003662,989.892526910753,17.3194730892474,17.3194730892474,NA,NA,0,0,0,NA,1008.4423181888,285.158776806875,NA,0,NA,NA,NA,NA,NA,NA,285.158776806875,1008.4423181888,5.63012454334732,3.5373316380873,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,3.25834876470474,3.23974909612137,0,0,0,0,0.203459230769231,1.09375864101919,0,0,28.9230769230769,295.068,279.02371596861,2,NA,NA,NA,16.0442840313901,901.57057027797,51.7085066451067,51.7085066451067,NA,NA,0,0,0,NA,947.830735780275,293.415781210365,NA,0,NA,NA,NA,NA,NA,NA,293.415781210365,947.830735780275,8.79494744327072,3.23033746200371,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,0,"ROM","Fareway",NA,NA,NA,NA,3.03092150387741,3.00221624956877,0.0155577942033186,0,0,0,0.192304166666667,1.06735187724629,0.0155577942033186,0.0155577942033186,26,298.266916666667,268.272452916121,2,NA,NA,NA,29.9944637505461,800.720498954533,94.3496677121334,94.3496677121334,NA,NA,0,0,0,NA,889.131755860186,299.500590037333,NA,0,NA,NA,NA,NA,NA,NA,299.500590037333,889.131755860186,17.6917227437483,3.00221624956877,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"Retailer","Fareway",NA,1158,0,NA,4.00389970409225,3.9949240269576,0.0508092388495723,0,0,0,0.00269428571428571,1.25998797085472,0.0508092388495723,0.0508092388495723,35,0.714285714285714,0.714285714285714,1,NA,NA,NA,0,2.49285714285714,0,0,NA,NA,0,2.18594813543125,0,NA,8.87993644718217,2.36798514224186,1.63182827535159,0,1.63182827535159,1.63182827535159,0,0,NA,NA,2.36798514224186,8.87993644718217,0.36570433800578,3.99418452582704,"2022-12-31",NA,2.28455958549223,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"Retailer","Fareway",NA,1158,0,NA,3.9938617479226,3.99092904037938,0,0,0,0,0.00345769230769231,1.16921518067552,0,0,31.9230769230769,1.07692307692308,1.07548432167733,1,NA,NA,NA,0.00143875524575076,4.29118244349253,0.00574063343054558,0.00574063343054558,NA,NA,0,0,0,NA,11.7612098625523,2.94708844411958,2.4602949382224,0,2.45700801613454,2.4602949382224,0.00328692208785712,0.00328692208785712,NA,NA,2.94708844411958,11.7612098625523,0.00519857656551359,3.99080963496959,"2022-09-24",NA,2.28455958549223,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
