"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_TPR_1","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","WB_Comp_RP_4","CB_Comp_RP_3"
"ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,1,"Retailer","Fareway",NA,1506,0,NA,2.99,2.99,0,0,0,0,0.014555,1.25998797085472,0,0,35,1.25345523317522,1.25345523317522,1,NA,NA,NA,0,3.74783114719391,0,0,0,0,0,0,0,0,0,0,NA,NA,0,2.99,"2022-12-31",NA,1.21533864541833,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",0,1,0,"Retailer","Fareway",NA,1506,0,NA,2.99,2.99,0,0,0,0,0.014555,1.16921518067552,0,0,31.9230769230769,1.30848227525821,1.30848227525821,1,NA,NA,NA,0,3.91236200302205,0,0,0,0,0,0,0,0,0,0,NA,NA,0,2.99,"2022-09-24",NA,1.21533864541833,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",1,0,0,"Retailer","Fareway",NA,1506,0,NA,2.99,2.99,0,0,0,0,0.014555,1.09375864101919,0,0,28.9230769230769,1.36446233618503,1.36446233618503,1,NA,NA,NA,0,4.07533049736329,0,0,0,0,0,0,0,0,0,0,NA,NA,0.004411887829949,2.98674553767168,"2022-06-25",NA,1.21533864541833,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,0,"Retailer","Fareway",NA,1506,0,NA,2.99,2.99,0,0,0,0,0.014555,1.06735187724629,0,0,26,1.4213071341352,1.4213071341352,1,NA,NA,NA,0,4.24970833106426,0,2.02556440903055,0,0.928319180846412,2.02556440903055,1.09724522818413,1.09724522818413,0,0,0,NA,NA,0,2.99,"2022-03-26",NA,1.21533864541833,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,3.57557553956835,3.57557553956835,0,0,0,0,0.200415,1.25998797085472,0,0,35,273.784283522158,273.784283522158,2,NA,NA,NA,0,978.936387280074,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.57557553956835,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,3.57557553956835,3.57557553956835,0,0,0,0,0.200415,1.16921518067552,0,0,31.9230769230769,273.784283522158,273.784283522158,2,NA,NA,NA,0,978.936387280074,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.57557553956835,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,3.57557553956835,3.57557553956835,0,0,0,0,0.200415,1.09375864101919,0,0,28.9230769230769,273.784283522158,273.784283522158,2,NA,NA,NA,0,978.936387280074,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.57557553956835,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO","Cat Treats","NPP",0,0,0,"ROM","Fareway",NA,NA,NA,NA,3.57557553956835,3.57557553956835,0,0,0,0,0.200415,1.06735187724629,0,0,26,273.784283522158,273.784283522158,2,NA,NA,NA,0,978.936387280074,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.57557553956835,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"Retailer","Fareway",NA,1158,0,NA,3.99269104285904,3.99269104285904,0.0508092388495723,0,0,0,0.007115,1.25998797085472,0.0508092388495723,0.0508092388495723,35,2.43558282652676,2.43558282652676,1,NA,NA,NA,0,9.14207689324546,0,1.63182827535159,0,1.63182827535159,1.63182827535159,0,0,0,2.28071983477979,0,NA,NA,0.582452842369241,3.99195206650894,"2022-12-31",NA,2.28455958549223,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"Retailer","Fareway",NA,1158,0,NA,3.99269104285904,3.99269104285904,0,0,0,0,0.007115,1.16921518067552,0,0,31.9230769230769,3.01720178780701,3.01720178780701,1,NA,NA,NA,0,12.0463938560682,0,2.4602949382224,0,2.4602949382224,2.4602949382224,0,0,0,0,0,NA,NA,0.00036069660711674,3.9925716033834,"2022-09-24",NA,2.28455958549223,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"Retailer","Fareway",NA,1158,0,NA,3.99269104285904,3.99269104285904,0,0,0,0,0.007115,1.09375864101919,0,0,28.9230769230769,3.02631926795432,3.02631926795432,1,NA,NA,NA,0,12.0680590112725,0,40.5948664806696,0,6.72912148662942,40.5948664806696,33.803868859312,33.803868859312,0,0,0,NA,NA,0.015098822720415,3.9878801080185,"2022-06-25",NA,2.28455958549223,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"Retailer","Fareway",NA,1251,0,NA,3.99269104285904,3.99269104285904,0,0,0,0,0.007115,1.06735187724629,0,0,26,3.02644870338309,3.02644870338309,1,NA,NA,NA,0,12.0685076058451,0,817.319300518135,0,6.83167316277351,817.319300518135,808.738271771271,808.738271771271,0,0,0,NA,NA,0.0151670238248976,3.98770615599655,"2022-03-26",NA,2.25525179856115,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"ROM","Fareway",NA,NA,NA,NA,3.63960727227782,3.63960727227782,0,0,0,0,0.42036,1.25998797085472,0,0,35,4675.28006272022,4675.28006272022,2,NA,0,0.0233888988027429,0,17016.183316212,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.63960727227782,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"ROM","Fareway",NA,NA,NA,NA,3.63960727227782,3.63960727227782,0,0,0,0,0.42036,1.16921518067552,0,0,31.9230769230769,3936.10413763207,3936.10413763207,2,NA,0,0.0341475257314857,0,14325.8732437685,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.63960727227782,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Fareway",NA,NA,NA,NA,3.63960727227782,3.63960727227782,0,0,0,0,0.42036,1.09375864101919,0,0,28.9230769230769,3423.99889074662,3423.99889074662,2,NA,0,0,0,12462.0112630326,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.63960727227782,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM4CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Fareway",NA,NA,NA,NA,3.63960727227782,3.63960727227782,0,0,0,0,0.42036,1.06735187724629,0,0,26,3089.2976159854,3089.2976159854,2,NA,0,0.00739302115329231,0,11243.830069371,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.63960727227782,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM58CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Fareway",NA,540,0,NA,8.98,8.98,0.0230657183284378,0,0,0,0.69793,1.25998797085472,0.0308341901956381,0.0386026620628385,35,191.196242989178,177.778021369179,2,NA,NA,NA,13.4182216199987,1582.3632981346,90.2900081315534,1241.35285714286,0,1139.08580360863,1241.35285714286,100.855580451111,100.855580451111,0,0,90.2900081315534,NA,NA,44.2889557766684,8.98,"2022-12-31",NA,6.42,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM58CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Fareway",NA,540,0,NA,8.98,8.98,0.0333906911244158,0,0,0,0.69793,1.16921518067552,0.0250246444982001,0.0166585978719843,31.9230769230769,193.972858650683,179.714747790003,2,NA,NA,NA,14.2581108606801,1593.07335411721,83.739568612305,1198.58307692308,0,1131.8134565876,1198.58307692308,61.8714051527724,61.8714051527724,0,0,83.739568612305,NA,NA,65.0633479536233,8.97527332007146,"2022-09-24",NA,6.34615384615385,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM58CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Fareway",NA,480,0,NA,8.98,8.98,0,0,0,0,0.69793,1.09375864101919,0,0,28.9230769230769,185.027596979971,163.106968571787,2,NA,NA,NA,21.9206284081841,1464.70057777465,196.793840493071,1070.57076923077,0,960.931176281881,1070.57076923077,109.638920860675,109.638920860675,0,0,196.793840493071,0,0,0.0534026124219255,8.97971139141763,"2022-06-25",NA,5.94,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
