"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-01-30","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Fareway",890.899162772407,1114.10372276462
"2","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-06","Within","Pantry Loading",1,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Fareway",469.959909977258,250.788338163934
"3","ITEM7CTFRISKIESPARTYMIXCR_Retailer","2021-02-13","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Fareway",393.526226829118,393.526226829118
"4","ITEM7CTFRISKIESPARTYMIXCR_Retailer","2021-02-20","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Fareway",118.793243671288,118.793243671288
"5","ITEM7CTFRISKIESPARTYMIXCR_Retailer","2022-01-01","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Fareway",566.68894781005,560.821478454252
"6","ITEM7CTFRISKIESPARTYMIXCR_Retailer","2022-01-08","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Fareway",214.797334419963,214.797334419963
"7","ITEM7CTFRISKIESPARTYMIXCR_Retailer","2022-09-03","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Fareway",293.39588543397,293.39588543397
"8","ITEM7CTFRISKIESPARTYMIXCR_Retailer","2022-09-10","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Fareway",15.0653687446347,280.827194680169
"9","ITEM7CTFRISKIESPARTYMIXCR_Retailer","2022-09-17","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Fareway",271.542423705062,285.728467341399
"10","ITEM7CTFRISKIESPARTYMIXCR_Retailer","2022-09-24","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Fareway",255.166084513901,284.77723341082
