"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_TPR_1","Intercept","Market","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_2","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","WB_Comp_RP_4","CB_Comp_RP_3","Model_flag"
"ITEM101CWFANCYFEASTMEDLEYS_ROM","Wet Cat","Fareway","CW FANCY FEAST MEDLEYS 03OZ 18CT",-2.5,1.06011035937065,-1.47192832391238,-1.46935578147147,10,0,0,0,0,0,0,0,-0.120939134577753,0,0,0,9.59497231602294,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"ITEM104CWFRISKIES_ROM","Wet Cat","Fareway","CW FRISKIES 03OZ 12CT",-0.620923173096471,4.03641721172746,0,0,7.72557111413953,6.44214148968295,0,0,0,0,0,0,0,0,-22.6967038526984,-4.63453752575495,4.61683688918135,"ROM",NA,NA,0,NA,NA,NA,NA,-13.5114758746946,-3.97468494018327,NA,NA,NA,NA,1
"ITEM107CWFRISKIES_ROM","Wet Cat","Fareway","CW FRISKIES 05.5OZ 12CT",-1.18340510134495,0,0,0,0,0,5.38591706721288,4.55013607923677,0.610871351201778,0,-0.127864214048248,0,0.00920491503212584,0,0,0,9.56125765919399,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2
"ITEM108CWFANCYFEASTBROTHS_ROM","Wet Cat","Fareway","CW FANCY FEAST BROTHS 01.4OZ 12CT",-0.126344622119774,1.46117219511238,0,0,8.69346755202845,0,0,0,0,0,0,0,0,0,0,0,3.31289928484122,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2
"ITEM109CWFRISKIES_ROM","Wet Cat","Fareway","CW FRISKIES 03OZ 24CT",0,0,0,0,10,0,0,0,-1.10214032042971,0,0,0,-0.0498680171541741,0,-1.7020372881274,0,3.06093761170275,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"ITEM110CWFANCYFEASTML_ROM","Wet Cat","Fareway","CW FANCY FEAST ML 03OZ 48CT",-2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7999939492591,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"ITEM11TIDYCATSCLUMPLW_Retailer","Litter","Fareway","CL TIDY CATS CLUMP LW 08.5LB",-0.557044712081233,2.09291716144072,0,0,8.01536838745254,1.02987103550531,0,0,0,0,0,0,0,NA,0,0,-0.688156343151028,"Retailer",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1
"ITEM11TIDYCATSCLUMPLW_ROM","Litter","Fareway","CL TIDY CATS CLUMP LW 08.5LB",-0.918468817129508,0,0,0,1.47039246121797,0.306161761278613,2.85215894873826,0,0.723424400928669,0.0353544849618596,0.0344200563274491,0.0362406415044076,-0.0015104473885665,NA,0,0,8.86506035784662,"ROM",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2
"ITEM127CWFANCYFEASTNATURALSML_ROM","Wet Cat","Fareway","CW FANCY FEAST NATURALS ML 03OZ",0,5.64050659606321,0,-0.470611318586852,0,0,0,0,1.68920907391078,0,0,0,0,0.517540892900791,0,0,5.52791941855394,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"ITEM12BENEFUL_Retailer","Wet Dog","Fareway","DW BENEFUL 10OZ",-1.20517631008639,1.41189964047834,0,0,1.77114230772652,0,0,0,0.197507132392611,0.0822200222380201,0.0790634130763656,0.0281862827975714,0.00741986708810471,0.533265460804438,0,-1.27775062273514,5.02519795989756,"Retailer",NA,NA,NA,NA,NA,0,NA,-0.110066934134861,NA,NA,NA,NA,NA,2
"ITEM12BENEFUL_ROM","Wet Dog","Fareway","DW BENEFUL 10OZ",-1.04480009260299,4.06992710951379,0,0,0.746125956601867,0.0847422608002049,0,0,0.220308308173428,0,-0.0317350090528048,-0.021659370191199,0.00707946032431286,0,0,-0.0648084926801721,9.09569680403422,"ROM",NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,2
"ITEM12CWFANCYFEASTML_Retailer","Wet Cat","Fareway","CW FANCY FEAST ML 03OZ 24CT",-0.234704247240224,2.96453811892748,0,0,5.19743568403627,0,0,0,0,0,0,0,0,0,0,0,2.86361930175241,"Retailer",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2
"ITEM12CWFANCYFEASTML_ROM","Wet Cat","Fareway","CW FANCY FEAST ML 03OZ 24CT",0,0,0,0,1.10469018921211,0,3.44659856046065,0,0.637620649330122,-0.12114519869614,0.0144144098394814,0,0.00761529383838257,0,0,0,6.37959668932495,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2
"ITEM136CWFRISKIES_ROM","Wet Cat","Fareway","CW FRISKIES 05.5OZ 40CT",-0.406974059358227,0,0,0,0,0.378905323299016,1.22945329545195,0,0.886299709571661,0,0,0,0,0,0,0,8.027338424823,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,2
"ITEM137CWFANCYFEASTSAVRYCNTR_ROM","Wet Cat","Fareway","CW FANCY FEAST SAVRY CNTR 03OZ",0,0,-2.80907972610091,-2.35247802093631,10,0,0,0,0,0,0,0,0,0,0,0,4.64603161961501,"ROM",NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1
"ITEM137TIDYCATSCLUMPNONLW_Retailer","Litter","Fareway","CL TIDY CATS CLUMP NON-LW 14LB",-0.297538961623225,1.6525747216875,0,0,3.28511304571506,0,0,0,0,0,0,0,0,NA,0,0,4.26845047705475,"Retailer",NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2
