"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM101CWFANCYFEASTMEDLEYS","Wet Cat","CW FANCY FEAST MEDLEYS 03OZ 18CT","NPP","ROM","Fareway",1,"Fancy Feast"
"ITEM104CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 12CT","NPP","ROM","Fareway",1,"Friskies"
"ITEM107CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 12CT","NPP","ROM","Fareway",2,"Friskies"
"ITEM108CWFANCYFEASTBROTHS","Wet Cat","CW FANCY FEAST BROTHS 01.4OZ 12CT","NPP","ROM","Fareway",2,"Fancy Feast"
"ITEM109CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 24CT","NPP","ROM","Fareway",1,"Friskies"
"ITEM110CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 48CT","NPP","ROM","Fareway",1,"Fancy Feast"
"ITEM11TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","Retailer","Fareway",1,"Tidy Cats"
"ITEM11TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","ROM","Fareway",2,"Tidy Cats"
"ITEM127CWFANCYFEASTNATURALSML","Wet Cat","CW FANCY FEAST NATURALS ML 03OZ","NPP","ROM","Fareway",1,"Fancy Feast"
"ITEM12BENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","Retailer","Fareway",2,"Beneful"
"ITEM12BENEFUL","Wet Dog","DW BENEFUL 10OZ","NPP","ROM","Fareway",2,"Beneful"
"ITEM12CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","Retailer","Fareway",2,"Fancy Feast"
"ITEM12CWFANCYFEASTML","Wet Cat","CW FANCY FEAST ML 03OZ 24CT","NPP","ROM","Fareway",2,"Fancy Feast"
"ITEM136CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 40CT","NPP","ROM","Fareway",2,"Friskies"
"ITEM137CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ","NPP","ROM","Fareway",1,"Fancy Feast"
"ITEM137TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","Retailer","Fareway",2,"Tidy Cats"
"ITEM137TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","ROM","Fareway",2,"Tidy Cats"
"ITEM138CWFANCYFEASTSAVRYCNTR","Wet Cat","CW FANCY FEAST SAVRY CNTR 03OZ 12CT","NPP","ROM","Fareway",2,"Fancy Feast"
"ITEM138TIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB","NPP","Retailer","Fareway",2,"Tidy Cats"
