"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM1CTWHISKERLICKINSCR_Retailer","NPP","Cat Treats","CT WHISKER LICKINS AO",3,2,4,0,4,0,2,0,2.98692775917986,0,4.042,0,0,0,0,0,0,0,2,1.2,0,2,0,0,1,1,1,1,0,0,0,"Fareway","Retailer","CT WHISKER LICKINS AO",0.954300370197477,0.282685899596996,1,0,0,0,0
"ITEM1CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.6,3,4,14,4,0,2,6.42692224450389,3.10963836723679,0,9.242,0,13.64,0,1.738,0,0,0,3.10963836723679,0,0,3.10963836723679,0,22.2585,1,0,1,0,1,1,0,"Fareway","ROM","CT WHISKER LICKINS AO",0.750854345191402,0.0934989985569136,2,8,0,1,0
"ITEM4CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",4,3,5,27,5,0,3,16.9582876673396,3.98291267004232,0,61.292,0,85.244,0,0,0,0,2,3,2.3,0,3,0,0.501,1,1,1,1,0,0,0,"Fareway","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",NA,NA,1,6,0,0,0
"ITEM4CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,0,4,0,2,0,3.26994952589594,0,14.472,0,20.762,0,0,0,0,0,3.26994952589594,0,0,3.26994952589594,0,42.369,1,0,0,0,1,0,0,"Fareway","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.666716685768922,0.0837965726925136,2,0,0,1,1
"ITEM58CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",10,8,11,13,11,0,7,10.8142720173648,8.47730308466312,0,75.141,0,0,0,0,0,0,5,8,5.9,0,8,0,71.113,1,1,1,1,0,0,0,"Fareway","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.814997672230625,0.0775296666939874,2,7,0,0,0
"ITEM58CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.7,8,11,0,11,0,6,0,8.54843119954164,0.294,11.574,0,18.501,0,4.705,0,1.15,0,8.54843119954164,0,0,8.54843119954164,0,61.341,1,0,0,0,1,1,1,"Fareway","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.155512862447495,0.0474742265325088,2,0,0,1,1
"ITEM60CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.4,2,3,11,3,0,1,7.65326081504582,2.11684790944139,0,3.972,0,12.17,0,1.973,0,0,0,2.11684790944139,0,0,2.11684790944139,0,11.41,1,1,0,1,0,1,0,"Fareway","ROM","CT DENTALIFE DNT 01.8OZ",NA,NA,1,2,0,0,1
"ITEM68CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",5,4,6,18,6,0,3,8.52462688837179,4.45770583612328,0,5.105,0,0.973,0,9.745,0,0,0,4.45770583612328,0,0,4.45770583612328,0,20.0005,0,1,1,1,0,1,0,"Fareway","ROM","CT WHISKER LICKINS CR 10OZ",0.888142590510924,0.26467113674321,2,14,1,0,0
"ITEM73CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.6,2,3,17,3,0,1,10.916575737616,2.24849479737333,0,10.041,0,9.281,0,0,0,0,0,2.24849479737333,0,0,2.24849479737333,0,32.9395,1,1,1,1,1,0,0,"Fareway","ROM","CT WHISKER LICKINS CR 04OZ",0.94354415860942,0.0728800402139464,2,7,0,0,0
"ITEM7906CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5,4,6,51,6,0,2,23.2023114416453,4.79648589953154,0,7.443,0,5.67,0,1.569,0,0,0,4.79648589953154,0,0,4.79648589953154,0,2.699,1,1,0,1,1,1,0,"Fareway","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",NA,NA,1,42,0,0,1
