"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","rhat","approach_tpr","mean_tpr","std_tpr","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM1CTWHISKERLICKINSCR","Cat Treats","NPP","ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO",0.750854345191402,0,0,"wk_sold_median_base_price_byppg_log",-0.599074133697429,0.0934989985569136,"No Change",-0.771356135517953,0.477641589006904,0.999960686254297,"",NA,NA,"1st Pass","No Change",2,"Fareway","ROM",NA,NA,NA,NA,NA,"ROM","ITEM1CTWHISKERLICKINSCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT WHISKER LICKINS AO"
"ITEM1CTWHISKERLICKINSCR","Cat Treats","NPP","ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO",0.750854345191402,0,0,"ACV_Feat_Only",0.916444836318515,0.0934989985569136,"No Change",-0.771356135517953,0.477641589006904,0.999953606532465,"",NA,NA,"1st Pass","No Change",2,"Fareway","ROM",NA,NA,NA,NA,NA,"ROM","ITEM1CTWHISKERLICKINSCR","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT WHISKER LICKINS AO"
"ITEM1CTWHISKERLICKINSCR","Cat Treats","NPP","ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO",0.750854345191402,0,0,"ACV_Disp_Only",11.8736937093666,0.0934989985569136,"No Change",-0.771356135517953,0.477641589006904,1.0000505579176,"",NA,NA,"1st Pass","No Change",2,"Fareway","ROM",NA,NA,NA,NA,NA,"ROM","ITEM1CTWHISKERLICKINSCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT WHISKER LICKINS AO"
"ITEM1CTWHISKERLICKINSCR","Cat Treats","NPP","ITEM1CTWHISKERLICKINSCR_ROM","CT WHISKER LICKINS AO",0.750854345191402,0,0,"ACV_Selling",2.4841827067244,0.0934989985569136,"No Change",-0.771356135517953,0.477641589006904,1.00014143073047,"",NA,NA,"1st Pass","No Change",2,"Fareway","ROM",NA,NA,NA,NA,NA,"ROM","ITEM1CTWHISKERLICKINSCR","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT WHISKER LICKINS AO"
"ITEM1CTWHISKERLICKINSCR","Cat Treats","NPP","ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO",0.954300370197477,0.307744578797088,0.0703750003292681,"ACV_Selling",7.42174749957257,0.282685899596996,"Channel",-1.07132914897596,NA,NA,"Channel",1.00184339519204,NA,"2nd Pass","Zero EDLP & TPR elasticity from 1st pass",1,"Fareway","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM1CTWHISKERLICKINSCR","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT WHISKER LICKINS AO"
"ITEM1CTWHISKERLICKINSCR","Cat Treats","NPP","ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO",0.954300370197477,0.307744578797088,0.0703750003292681,"monthno",-0.0139641870291436,0.282685899596996,"Channel",-1.07132914897596,NA,NA,"Channel",1.00184339519204,NA,"2nd Pass","Zero EDLP & TPR elasticity from 1st pass",1,"Fareway","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM1CTWHISKERLICKINSCR","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT WHISKER LICKINS AO"
"ITEM1CTWHISKERLICKINSCR","Cat Treats","NPP","ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO",0.954300370197477,0.307744578797088,0.0703750003292681,"wk_sold_median_base_price_byppg_log",-1.07132914897596,0.282685899596996,"Channel",-1.07132914897596,NA,NA,"Channel",1.00184339519204,NA,"2nd Pass","Zero EDLP & TPR elasticity from 1st pass",1,"Fareway","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM1CTWHISKERLICKINSCR","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT WHISKER LICKINS AO"
"ITEM1CTWHISKERLICKINSCR","Cat Treats","NPP","ITEM1CTWHISKERLICKINSCR_Retailer","CT WHISKER LICKINS AO",0.954300370197477,0.307744578797088,0.0703750003292681,"tpr_discount_byppg",1.00184339519204,0.282685899596996,"Channel",-1.07132914897596,NA,NA,"Channel",1.00184339519204,NA,"2nd Pass","Zero EDLP & TPR elasticity from 1st pass",1,"Fareway","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM1CTWHISKERLICKINSCR","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT WHISKER LICKINS AO"
"ITEM4CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM4CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.666716685768922,0,0,"wk_sold_median_base_price_byppg_log",-3.2292327725783,0.0837965726925136,"Capped at -2.5",-2.5,0.5,1.00000862044329,"",NA,NA,"1st Pass","No Change",2,"Fareway","ROM",NA,NA,NA,NA,NA,"ROM","ITEM4CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ"
"ITEM4CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM4CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.666716685768922,0,0,"ACV_Feat_Only",0.23717789011895,0.0837965726925136,"Capped at -2.5",-2.5,0.5,1.00000522202934,"",NA,NA,"1st Pass","No Change",2,"Fareway","ROM",NA,NA,NA,NA,NA,"ROM","ITEM4CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ"
