"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_RP_6","CB_Comp_RP_7","CB_Comp_RP_8","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","CB_Comp_TPR_7","CB_Comp_TPR_8","CB_Comp_TPR_9"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,0,1,"Retailer","Food Lion",NA,NA,NA,1,3.05406088558661,2.9493915294605,0.186256776879606,0,0,0,0.320115714285714,1.25394254689162,0.172418622668044,0.150558623514818,35,1569.07142857143,1489.24260832107,0,NA,NA,NA,NA,NA,NA,NA,79.8288202503558,2967.00088705556,219.300541515861,219.300541515861,NA,NA,0,0,0,NA,5578.0631302165,3572.96818917511,3296.10643097033,0,3128.41216096279,3296.10643097033,159.555135471371,159.555135471371,NA,NA,3767.33350184624,5578.0631302165,1615.12901638791,2.93080212466249,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,1,0,"Retailer","Food Lion",NA,NA,NA,1,3.06532432131169,3.04219362973281,0.0405951204404492,0,0,0,0.219706153846154,1.16607462051734,0.0333385323940437,0.0269088180811159,31.9230769230769,1003.69230769231,847.350224370876,0,NA,NA,NA,NA,NA,NA,NA,156.342083321432,2441.94443373612,451.545566263883,451.545566263883,NA,NA,0,0,0,NA,2459.19458135115,851.19892590767,2108.42961630632,0,1780.00597867993,2108.42961630632,311.32951589365,311.32951589365,NA,NA,856.689220134427,2459.19458135115,182.99730661316,3.02188561793745,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",1,0,0,"Retailer","Food Lion",NA,NA,NA,1,2.99608438574278,2.98408092074177,0,0,0,0,0.20604,1.1029162105189,0,0,28.9230769230769,850.153846153846,667.541568371779,0,NA,NA,NA,NA,NA,NA,NA,182.612277782067,1988.23797652133,543.655100401742,543.655100401742,NA,NA,0,0,0,NA,1988.23797652133,667.541568371779,1785.89547205836,0,1402.28673875829,1785.89547205836,382.572992065407,382.572992065407,0,0,667.955743649588,1988.23797652133,15.3793195598867,2.97826366781843,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,0,0,"Retailer","Food Lion",NA,NA,NA,1,2.9875909670259,2.97146682521641,0,0,0,0,0.10775,1.09724631556962,0,0,26.8,312.4,259.329444387171,0,NA,NA,NA,NA,NA,NA,NA,53.070555612829,769.620402729083,157.105597270917,157.105597270917,NA,NA,0,0,0,NA,965.939204759001,325.39234896105,656.250333977867,0,544.766435625403,656.250333977867,111.42142706933,111.42142706933,NA,NA,325.624245232364,965.939204759001,6.60925188974767,2.96632337558124,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Food Lion",NA,NA,NA,NA,1.6096685971686,1.66666666666667,0.0457142857142857,0,0,0,0.0000471428571428571,1.25394254689162,0.0342857142857143,0.0228571428571429,35,0.142857142857143,0.0421924991589066,1,NA,NA,NA,NA,NA,NA,NA,0.100664643698236,0.0590694988224692,0.140930501177531,0.140930501177531,NA,NA,0,0,0,NA,1.10929007395315,0.689612241406696,NA,0,NA,NA,NA,NA,NA,NA,0.689612241406696,1.10929007395315,0.0380952380952386,1.66666666666667,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Food Lion",NA,NA,NA,NA,1.6721263289556,1.67015322076298,0,0,0,0,0,1.16607462051734,0,0,31.9230769230769,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,NA,2.13303873192977,1.27830112749877,NA,0,NA,NA,NA,NA,NA,NA,1.27830112749877,2.13303873192977,0,1.6686228351381,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Food Lion",NA,NA,NA,NA,1.37699300699301,1.46230769230769,0.18485680985681,0,0,0,0.000212307692307692,1.1029162105189,0.18485680985681,0.204324995991663,28.9230769230769,0.384615384615385,0.366252771032919,1,NA,NA,NA,NA,NA,NA,NA,0.0183626135824654,0.294999743704359,0.0142310255264107,0.0142310255264107,NA,NA,0,0,0,NA,2.20582572627645,1.93160818720798,NA,0,NA,NA,NA,NA,NA,NA,1.93160818720798,2.20582572627645,0.221561771561772,1.46230769230769,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Food Lion",NA,NA,NA,NA,1.12787194814472,1.35625,0.424631774635568,0,0,0,0.00052,1.0732181973103,0.424631774635568,0.433046821793306,26,2.16666666666667,0.924438084848332,1,NA,NA,NA,NA,NA,NA,NA,1.24222858181833,0.628295867977592,0.680037465355739,0.680037465355739,NA,NA,0,0,0,NA,2.05821268328352,2.72427105293946,NA,0,NA,NA,NA,NA,NA,NA,2.72427105293946,2.05821268328352,0.900171561074459,1.35625,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Food Lion",NA,NA,NA,1,9.78891735697974,9.69962292933804,0,0,0,0,0.508695357142857,1.25394254689162,0,0,35,1577.35714285714,1567.25256437189,2,NA,NA,NA,NA,NA,0,NA,10.1045784852564,15214.3405052925,74.0780661361012,74.0780661361012,NA,NA,0,0,18.1120500122537,NA,16112.6560680305,1654.44462747623,9012.73468091394,0,8954.99893897212,9012.73468091394,57.624076164665,57.624076164665,NA,NA,1664.1429588829,16130.7681180427,152.241258515522,9.6944049595579,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Food Lion",NA,NA,NA,1,9.76500464129433,9.74578552938571,0,0,0,0,0.518518076923077,1.16607462051734,0,0,31.9230769230769,1708.76923076923,1668.88563247654,2,NA,NA,NA,NA,NA,0,NA,39.8835982926907,16241.8309165485,288.987544989963,288.987544989963,NA,NA,0,0,97.4384639300017,NA,16459.5579717294,1691.27648613349,9763.59968797966,0,9535.71198914116,9763.59968797966,219.965513784933,219.965513784933,NA,NA,1710.94063294667,16556.9964356594,157.254632036896,9.67777861166368,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
