"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_RP_6","CB_Comp_RP_7","CB_Comp_RP_8","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","CB_Comp_TPR_7","CB_Comp_TPR_8","CB_Comp_TPR_9"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,0,1,"Retailer","Food Lion",NA,NA,NA,1,3.01128695651126,3.01128695651126,0.186256776879606,0,0,0,0.230005,1.25394254689162,0.172418622668044,0.150558623514818,35,2062.86030765658,2022.54464845832,0,NA,NA,NA,NA,NA,NA,NA,40.3156591982651,4968.83403059501,0,3296.10643097033,0,2899.88545600672,3296.10643097033,37.0294402533711,37.0294402533711,0,0,0,NA,NA,1243.03030695607,2.99191275123207,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,1,0,"Retailer","Food Lion",NA,NA,NA,1,3.01128695651126,3.01128695651126,0.0405951204404492,0,0,0,0.230005,1.16607462051734,0.0333385323940437,0.0269088180811159,31.9230769230769,1772.18788703785,1763.50422717422,0,NA,NA,NA,NA,NA,NA,NA,8.68365986363231,5074.34882462695,0,2108.42961630632,0,2108.42961630632,2108.42961630632,0,0,0,0,0,NA,NA,262.217444097397,2.99134413954073,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",1,0,0,"Retailer","Food Lion",NA,NA,NA,1,3.01128695651126,3.01128695651126,0,0,0,0,0.230005,1.1029162105189,0,0,28.9230769230769,1526.04403978816,1525.73947363781,0,NA,NA,NA,NA,NA,NA,NA,0.304566150354626,4586.21136469579,0,1785.89547205836,0,1785.89547205836,1785.89547205836,0,0,0,0,0,NA,NA,9.14514738005298,3.00539678310354,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,0,0,"Retailer","Food Lion",NA,NA,NA,1,3.01128695651126,3.01128695651126,0,0,0,0,0.230005,1.09724631556962,0,0,26.8,1355.54770592768,1355.31195696296,0,NA,NA,NA,NA,NA,NA,NA,0.235748964725963,4074.86039808583,0,656.250333977867,0,656.250333977867,656.250333977867,0,0,0,0,0,NA,NA,7.08272770296939,3.00607992557789,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,1,"ROM","Food Lion",NA,NA,NA,NA,1.66666666666667,1.66666666666667,0,0,0,0,0.00066,1.25394254689162,0,0,35,0.0682107476416359,0.0682107476416359,1,NA,NA,NA,NA,NA,NA,NA,0,0.113684579402727,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.66666666666667,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,1,0,"ROM","Food Lion",NA,NA,NA,NA,1.66666666666667,1.66666666666667,0,0,0,0,0.00066,1.16607462051734,0,0,31.9230769230769,0.124157557049304,0.124157557049304,1,NA,NA,NA,NA,NA,NA,NA,0,0.20692926174884,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.66666666666667,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",1,0,0,"ROM","Food Lion",NA,NA,NA,NA,1.66666666666667,1.66666666666667,0,0,0,0,0.00066,1.1029162105189,0,0,28.9230769230769,0.222768996208379,0.222768996208379,1,NA,NA,NA,NA,NA,NA,NA,0,0.371281660347299,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.66666666666667,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ","Cat Treats","NPP",0,0,0,"ROM","Food Lion",NA,NA,NA,NA,1.66666666666667,1.66666666666667,0,0,0,0,0.00066,1.0732181973103,0,0,26,0.393648692522719,0.393648692522719,1,NA,NA,NA,NA,NA,NA,NA,0,0.656081154204533,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,1.66666666666667,"2022-03-26",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Food Lion",NA,NA,NA,1,9.68071732981884,9.68071732981884,0,0,0,0,0.51557,1.25394254689162,0,0,35,1681.02765533729,1652.43926479964,2,NA,NA,NA,NA,NA,0,NA,28.5883905376471,15991.3703074975,273.35285337191,9012.73468091394,0,8936.29546528561,9012.73468091394,76.3428891382496,76.3428891382496,0,0,273.35285337191,NA,NA,8.8303940589716,9.67549477555038,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM11CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Food Lion",NA,NA,NA,1,9.68071732981884,9.68071732981884,0,0,0,0,0.51557,1.16607462051734,0,0,31.9230769230769,1706.97873116981,1692.65817422169,2,NA,NA,NA,NA,NA,0,NA,14.3205569481215,16298.9720701222,110.469035931428,9763.59968797966,0,9538.26765239707,9763.59968797966,217.505265144643,217.505265144643,0,0,110.469035931428,NA,NA,115.337478414088,9.61318393717683,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
