"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-01-02","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",155.962322433046,155.962322433046
"2","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-01-02","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",653.73267955881,653.73267955881
"3","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-01-02","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",400.590459813811,400.590459813811
"4","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-13","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",143.563574991174,143.563574991174
"5","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-13","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",660.509142102943,660.509142102943
"6","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-13","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",460.086715611359,460.086715611359
"7","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-20","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",136.056112680703,136.056112680703
"8","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-20","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",695.173791308429,695.173791308429
"9","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-20","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",514.359087077383,514.359087077383
"10","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-27","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",151.531696595899,151.531696595899
"11","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-27","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",710.021899290043,710.021899290043
"12","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-02-27","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",397.0461203015,397.0461203015
"13","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-03-06","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",173.31726496387,173.31726496387
"14","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-03-06","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",730.124229643071,730.124229643071
"15","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-03-06","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",376.618102599459,376.618102599459
"16","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-15","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",185.402649840683,185.402649840683
"17","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-15","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",700.40795427344,700.40795427344
"18","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-15","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",487.329217176552,487.329217176552
"19","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-22","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",189.446983931535,189.446983931535
"20","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-22","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",716.751544778382,716.751544778382
"21","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-22","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",535.020445590521,535.020445590521
"22","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-29","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",189.259331199812,189.259331199812
"23","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-29","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",736.687586819719,736.687586819719
"24","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-05-29","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",415.868156347818,415.868156347818
"25","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-06-05","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",188.303942406928,188.303942406928
"26","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-06-05","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",757.448142437768,757.448142437768
"27","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-06-05","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",398.094476440672,398.094476440672
"28","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-09-11","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",173.746298604719,173.746298604719
"29","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-09-11","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",760.615671343333,760.615671343333
"30","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-09-11","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",468.033230307708,468.033230307708
"31","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-09-18","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",175.608942740084,175.608942740084
"32","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-09-18","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",761.268785687854,761.268785687854
"33","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-09-18","Within","Pantry Loading",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",447.900224688512,447.900224688512
"34","ITEM4CTFRISKIESPARTYMIXCR_Retailer","2021-09-25","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ","Cat Treats","Food Lion",184.642881493935,184.642881493935
