"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","CT FANCY FEAST SAVORY PUREE 1.4OZ","NPP","Retailer","Food Lion",0,"Fancy Feast"
"ITEM1006DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 04-6LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1008DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 16-18LB","NPP","ROM","Food Lion",1,"Pro Plan"
"ITEM1027DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 40LB","NPP","ROM","Food Lion",2,"Purina One"
"ITEM103BUSYTWISTEDCW","Dog Treats","DT BUSY TWISTED CW 05.3-7OZ","NPP","Retailer","Food Lion",2,"Busy"
"ITEM103BUSYTWISTEDCW","Dog Treats","DT BUSY TWISTED CW 05.3-7OZ","NPP","ROM","Food Lion",2,"Busy"
"ITEM1050DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 15LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1054DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 27.5LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1055DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","Retailer","Food Lion",1,"Purina One"
"ITEM1055DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM1063DTTREKKERSMT","Dog Treats","DT TREKKERS MT 05OZ","NPP","ROM","Food Lion",1,"Trekker's"
"ITEM1078DTZUKESMININTRLSMT","Dog Treats","DT ZUKES MINI NTRLS MT 06OZ","NPP","ROM","Food Lion",1,"Zuke's"
"ITEM109CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 24CT","NPP","Retailer","Food Lion",1,"Friskies"
"ITEM109CWFRISKIES","Wet Cat","CW FRISKIES 03OZ 24CT","NPP","ROM","Food Lion",1,"Friskies"
"ITEM10CTFANCYFEASTDUOSCR","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ","NPP","ROM","Food Lion",1,"Fancy Feast"
"ITEM10CWPURINAONE","Wet Cat","CW PURINA ONE 03OZ","NPP","Retailer","Food Lion",2,"Purina One"
"ITEM10CWPURINAONE","Wet Cat","CW PURINA ONE 03OZ","NPP","ROM","Food Lion",2,"Purina One"
"ITEM10PURINAONETRUINST","Dry Cat","DC PURINA ONE TRU INST 06.3LB","NPP","Retailer","Food Lion",0,"Purina One"
"ITEM10PURINAONETRUINST","Dry Cat","DC PURINA ONE TRU INST 06.3LB","NPP","ROM","Food Lion",1,"Purina One"
"ITEM10TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","Retailer","Food Lion",2,"Tidy Cats"
"ITEM10TIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 08.5LB","NPP","ROM","Food Lion",2,"Tidy Cats"
"ITEM1123DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 48LB","NPP","ROM","Food Lion",1,"Dog Chow Line"
"ITEM1125DDALPO","Dry Dog","DD ALPO 28-31LB","NPP","ROM","Food Lion",1,"Alpo"
"ITEM1127DDALPO","Dry Dog","DD ALPO 17.6LB","NPP","ROM","Food Lion",1,"Alpo"
"ITEM1129DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 03LB","NPP","ROM","Food Lion",1,"Beneful"
"ITEM1130DDBENEFUL","Dry Dog","DD BENEFUL 12LB","NPP","ROM","Food Lion",1,"Beneful"
"ITEM1131DDBENEFUL","Dry Dog","DD BENEFUL 14LB","NPP","Retailer","Food Lion",2,"Beneful"
"ITEM1131DDBENEFUL","Dry Dog","DD BENEFUL 14LB","NPP","ROM","Food Lion",2,"Beneful"
"ITEM1132DDBENEFUL","Dry Dog","DD BENEFUL 40LB","NPP","ROM","Food Lion",2,"Beneful"
"ITEM1133DDBENEFUL","Dry Dog","DD BENEFUL 06.3LB","NPP","ROM","Food Lion",1,"Beneful"
