"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","NPP","Cat Treats","CT FANCY FEAST SAVORY PUREE 1.4OZ",3.1,2,4,74,4,0,2,26.1277620170027,2.97477305195573,0,13.381,0,0,0,0,0,0,1,3,2.1,0,3,0,67.878,1,1,1,1,1,1,1,"Food Lion","Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",NA,NA,0,12,0,0,0
"ITEM10CTFANCYFEASTDUOSCR_ROM","NPP","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ",1.9,1,3,79,2,0,0,39.0845740522605,1.50722963290562,0,5.048,0,0,0,0,0,0,0,1.50722963290562,0,0,1.50722963290562,0,0.066,0,1,1,1,0,0,0,"Food Lion","ROM","CT FANCY FEAST DUOS CR 02.1OZ",NA,NA,1,50,1,0,0
"ITEM11CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.8,8,11,0,11,0,8,0,9.19638870960996,0,6.52,0,0,0,0,0,0,5,7,5.7,0,7,0,53.361,1,1,1,1,1,0,0,"Food Lion","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.646405846383972,0.0449241765501487,2,0,0,0,0
"ITEM11CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.7,8,11,8,11,0,6,6.41422200205927,8.54169004629806,0.335,7.149,0,7.84,0,2.224,0,0.386,0,8.54169004629806,0,0,8.54169004629806,0,47.049,1,1,1,1,0,1,1,"Food Lion","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.511413892683759,0.0468168796400019,2,1,0,0,0
"ITEM20CTDENTALIFEDNT_ROM","NPP","Cat Treats","CT DENTALIFE DNT 01.8OZ",2.2,2,3,20,3,0,1,9.09882147978128,1.95898409914389,0,1.338,0,0.423,0,0.398,0,0,0,1.95898409914389,0,0,1.95898409914389,0,1.738,1,0,0,0,1,1,0,"Food Lion","ROM","CT DENTALIFE DNT 01.8OZ",NA,NA,1,32,0,1,1
"ITEM2CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.9,3,5,15,5,0,2,10.9585491547111,3.48975624717951,0,63.811,0,0,0,0,0,0,2,3,2.3,0,3,0,50.075,1,1,1,1,0,0,0,"Food Lion","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.828252810516542,0.314073077684734,1,10,0,0,0
"ITEM2CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,0,5,0,2,0,3.29767010475237,0.81,10.976,0,8.552,0,1.641,0,0.149,0,3.29767010475237,0,0,3.29767010475237,0,39.331,1,0,1,0,1,1,0,"Food Lion","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.66896280548201,0.0552924877245868,2,0,0,1,0
"ITEM39CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",4.9,4,6,13,6,0,3,8.69505983204136,4.35509271123415,0,3.213,0,0,0,0.643,0,0,0,4.35509271123415,0,0,4.35509271123415,0,17.863,0,0,1,0,0,1,0,"Food Lion","ROM","CT WHISKER LICKINS CR 10OZ",0.896973665644435,0.269667470200521,2,2,1,1,0
"ITEM42CTKITKABOODLECR_Retailer","NPP","Cat Treats","CT KIT KABOODLE CR 04OZ",1.5,1,2,0,2,0,0,0,1.276,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0.115,1,1,1,1,1,1,1,"Food Lion","Retailer","CT KIT KABOODLE CR 04OZ",NA,NA,0,0,0,0,0
"ITEM42CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 04OZ",1.5,1,2,100,2,0,-1,68.0818893263794,1.22414434135893,0,0.312,0,0.601,0,0.027,0,0,0,1.22414434135893,0,0,1.22414434135893,0,0.002,0,0,0,0,0,1,0,"Food Lion","ROM","CT KIT KABOODLE CR 04OZ",NA,NA,1,46,1,1,1
"ITEM4CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.9,1,3,7,3,0,1,5.69497553631244,1.67349350299751,0,84.649,0,83.801,0,4.075,0,6.593,1,2,1.3,0,2,0,68.602,1,1,1,1,1,1,1,"Food Lion","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.762968791687655,0.0571656157442209,2,17,0,0,0
"ITEM4CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",1.9,1,3,6,3,0,1,5.29354820873378,1.69434705467738,0.917,13.753,0,10.824,0,2.53,0,0.973,0,1.69434705467738,0,0,1.69434705467738,0,51.447,1,1,1,1,1,0,1,"Food Lion","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.6854663097897,0.0429367541736912,2,4,0,0,0
"ITEM64CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",14.1,12,16,0,16,0,10,0,12.5078276023502,0,2.209,0,2.649,0,0.992,0,0,0,12.5078276023502,0,0,12.5078276023502,0,29.821,1,0,1,0,0,1,0,"Food Lion","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.40113499425763,0.0897787956899429,2,0,0,1,0
"ITEM65CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 04OZ",2.5,2,3,18,3,0,1,9.67998768811683,2.21206527131822,0,2.995,0,0.91,0,1.541,0,0,0,2.21206527131822,0,0,2.21206527131822,0,22.0265,1,1,1,1,0,0,0,"Food Lion","ROM","CT WHISKER LICKINS CR 04OZ",0.916344754975056,0.0964338497614735,2,15,0,0,0
"ITEM66CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX CR 20OZ 2CT",15.6,14,18,10,18,0,11,6.41531425727857,14.5210252490355,0,1.244,0,0.958,0,0.529,0,0.796,0,14.5210252490355,0,0,14.5210252490355,0,1.184,0,1,0,1,1,1,1,"Food Lion","ROM","CT FRISKIES PARTY MIX CR 20OZ 2CT",NA,NA,1,9,1,0,1
"ITEM7810CTFANCYFEASTSAVORYCRAVINGS_ROM","NPP","Cat Treats","CT FANCY FEAST SAVORY CRAVINGS 3OZ",5,4,6,49,6,0,2,26.2581569250064,4.50150966424556,0,3.875,0,2.818,0,0.682,0,0.865,0,4.50150966424556,0,0,4.50150966424556,0,1.698,0,1,0,1,1,1,1,"Food Lion","ROM","CT FANCY FEAST SAVORY CRAVINGS 3OZ",NA,NA,1,24,1,0,1
"ITEM7828CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.7,3,5,31,4,0,-1,11.511729085851,2.32226295739304,0,0.11,0,0.264,0,0.113,0,0,0,2.32226295739304,0,0,2.32226295739304,0,0.326,0,1,0,1,1,0,0,"Food Lion","ROM","CT KIT KABOODLE CR 09OZ",NA,NA,1,11,1,0,1
"ITEM7829CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 02.4OZ",1,0,2,0,2,0,0,0,0.982665314795969,0,0.145,0,0,0,0.067,0,0,0,0.982665314795969,0,0,0.982665314795969,0,0.9535,0,0,0,0,0,1,0,"Food Lion","ROM","CT KIT KABOODLE CR 02.4OZ",NA,NA,1,0,1,1,1
"ITEM817CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 01.7OZ",1.1,1,2,0,2,0,0,0,1.02578994553004,0,2.486,0,3.802,0,0.335,0,0.136,0,1.02578994553004,0,0,1.02578994553004,0,3.9405,0,0,0,0,1,1,1,"Food Lion","ROM","CT WHISKER LICKINS CR 01.7OZ",NA,NA,1,0,1,1,1
"ITEM822CTFANCYFEASTPUREFLAKED_ROM","NPP","Cat Treats","CT FANCY FEAST PURE FLAKED 01.06OZ",3.7,3,5,6,5,0,3,5.22319020184544,3.58815371321768,0,5.607,0,6.338,0,0,0,0,0,3.58815371321768,0,0,3.58815371321768,0,10.5285,1,1,1,1,1,0,0,"Food Lion","ROM","CT FANCY FEAST PURE FLAKED 01.06OZ",NA,NA,1,3,0,0,0
"ITEM828CTWHISKERLICKINSTN_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.7,3,5,16,4,0,2,9.18116887765304,2.97717479686929,0,7.117,0,4.351,0,0.9,0,0,0,2.97717479686929,0,0,2.97717479686929,0,6.786,1,1,1,1,1,1,0,"Food Lion","ROM","CT WHISKER LICKINS AO",NA,NA,1,6,0,0,0
