"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","WB_Comp_TPR_6","WB_Comp_TPR_7","WB_Comp_TPR_8","WB_Comp_TPR_9","CB_Comp_RP_2","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_RP_6","CB_Comp_RP_7","CB_Comp_RP_8","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","CB_Comp_TPR_8","CB_Comp_TPR_9","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","Model_flag"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","Cat Treats","Food Lion","CT FANCY FEAST SAVORY PUREE 1.4OZ",-0.1,0.1,0,-0.0401069151634025,6.63927301252684,0,0,0.840092550502863,-0.361004585578435,0,0,0,0.0563608276294098,0,0,0,0,0,0,0,4.6803817120983,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ITEM1006DDPROPLANDEVPUPPY_ROM","Dry Dog","Food Lion","DD PRO PLAN DEV PUPPY 04-6LB",-1.56059232955362,1.07237964087649,0,-0.205033454178417,0,0,1.27908853535123,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48758333568217,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1008DDPROPLANDEVPUPPY_ROM","Dry Dog","Food Lion","DD PRO PLAN DEV PUPPY 16-18LB",0,0.422375629280413,0,0,0,10,10,10,0.260415199411613,0,0,0,0.0231604653436652,0,0,0,0,0,-0.987165542051782,0,3.91360124493616,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1027DDPURINAONEMLTRGTD_ROM","Dry Dog","Food Lion","DD PURINA ONE ML TRGTD 40LB",0,0,0,0,0,0,0.249473129226534,0,0,0,0,0,0,0,0,0,0,0,0,0,7.27172442585679,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,2
"ITEM103BUSYTWISTEDCW_Retailer","Dog Treats","Food Lion","DT BUSY TWISTED CW 05.3-7OZ",-0.447536610193006,2.0652464189549,0,-0.200632192449199,2.80834553905218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00845130164042,"Retailer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2
"ITEM103BUSYTWISTEDCW_ROM","Dog Treats","Food Lion","DT BUSY TWISTED CW 05.3-7OZ",-0.875203512179365,0,0,0,2.3748839378966,1.21960819761887,0,0,1.31127118926896,0.0224543638194795,0,0.0027565839329648,-0.0121459019207261,0,0,0,0,0,0,0,6.94029639836283,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,2
"ITEM1050DDPURINAONETRUINSTBNB_ROM","Dry Dog","Food Lion","DD PURINA ONE TRU INST B&B 15LB",-2.5,0,-2.96675755800738,-3.04833900966423,0,0,0,0,-5.56765139905571,0,0,0,0,1,0,0,-4.12307890060764,0,-4.55031549899908,-14.0927607309903,17.5088236138709,"ROM",NA,NA,NA,NA,-16.6480112487059,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1054DDPURINAONETRUINSTBNB_ROM","Dry Dog","Food Lion","DD PURINA ONE TRU INST B&B 27.5LB",0,0,-2.83608686190524,-2.22603765770653,0,0,0,0,-2.36619998452027,0,0,0,0,1,1,0,-7.33087668102964,1,-1.71642437525083,-1.02386174778292,-4.08732588243437,"ROM",NA,NA,NA,NA,-5.38566437643491,0,0,0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,-5.75314023254827,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1055DDPURINAONEMLTRGTD_Retailer","Dry Dog","Food Lion","DD PURINA ONE ML TRGTD 31.1LB",-2.01739101026299,2.52296188306185,0,-0.477848881048994,10,0,10,0,0,0,0,0,-0.067413203973792,0,0,0,0,0,0,0,9.30146879977518,"Retailer",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1055DDPURINAONEMLTRGTD_ROM","Dry Dog","Food Lion","DD PURINA ONE ML TRGTD 31.1LB",-1.30658448075168,1.0515033953043,-0.387704865870499,0,0,0,10,0,1.09100923638653,0,0,0,0,0,0,0,0,0,0,0,10.1700025915128,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1063DTTREKKERSMT_ROM","Dog Treats","Food Lion","DT TREKKERS MT 05OZ",-1.47111843052554,2.15769121804589,0,0,0,0,5.59132380407637,0,1.71863814066362,0,0,0,-0.0463160835570382,0,0,0,0,0,0,0,7.34754109784322,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM1078DTZUKESMININTRLSMT_ROM","Dog Treats","Food Lion","DT ZUKES MINI NTRLS MT 06OZ",0,0,-3.54875590235167,-6.147713484359,0,0,0,0,0,0,0,0,0.0395443438718338,0,0,0,0,0,0,0,3.42695214892117,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,1
"ITEM109CWFRISKIES_Retailer","Wet Cat","Food Lion","CW FRISKIES 03OZ 24CT",-1.00811559547298,2.1728533269308,-4.10889219306157,-4.6348211584231,6.67801552765123,0,0,0,-0.149292050978623,0,0,0,-0.212250282892845,0,0,NA,-2.93139814147794,0,-0.493643869651753,-6.15242388785543,7.39870621344924,"Retailer",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,-1.9745036002931,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM109CWFRISKIES_ROM","Wet Cat","Food Lion","CW FRISKIES 03OZ 24CT",-2.5,0,0,-5.24539830205012,10,0,10,0,0,0,0,0,-0.165946527643477,0,0,NA,-1.9585054058933,0,0,0,11.3244826492902,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM10CTFANCYFEASTDUOSCR_ROM","Cat Treats","Food Lion","CT FANCY FEAST DUOS CR 02.1OZ",0,0.179596415133939,-0.473888598812208,-0.7255253394038,10,0,0,0,0,0,0,0,-0.194861320899103,0,0,0,0,0,0,0,4.11488078598401,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM10CWPURINAONE_Retailer","Wet Cat","Food Lion","CW PURINA ONE 03OZ",-1.17174294092003,4.18922024189505,0,0,4.07335583496749,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,6.40861157256731,"Retailer",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM10CWPURINAONE_ROM","Wet Cat","Food Lion","CW PURINA ONE 03OZ",-2.40912698572199,3.27564111532403,-0.561090519593251,0,0,1.80816754477483,9.87649927557279,0,0,-0.133866994810315,-0.0593223889690046,-0.0949352151845541,0.0367292266592479,0,0,NA,0,0,0,0,8.70017319719258,"ROM",NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM10PURINAONETRUINST_Retailer","Dry Cat","Food Lion","DC PURINA ONE TRU INST 06.3LB",-0.1,0.1,-0.704019017306564,-0.149754766163534,9.26289257990818,0,2.44971662805075,10,-0.822378707692393,0,0,0,-0.393862707310173,0,0,NA,0,0,0,0,5.18295352005237,"Retailer",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
"ITEM10PURINAONETRUINST_ROM","Dry Cat","Food Lion","DC PURINA ONE TRU INST 06.3LB",-0.320474558657727,0.766999714987952,-0.122154917689882,0,7.42054197392593,0.65104685446422,0,10,0.436484314434849,0,0,0,0,0,0,NA,0,0,0,0,5.70095403084677,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
"ITEM10TIDYCATSCLUMPLW_Retailer","Litter","Food Lion","CL TIDY CATS CLUMP LW 08.5LB",-0.377201203797216,3.06538373578477,0,0,0,0.127706448080869,4.11619696873406,0,0,0,0,0,0,NA,NA,NA,0,NA,0,NA,9.12349349616098,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM10TIDYCATSCLUMPLW_ROM","Litter","Food Lion","CL TIDY CATS CLUMP LW 08.5LB",-0.711944827391688,1.86314383448402,0,0,0,0.232661230758834,0.728922339617136,5.69594997435107,0.155849468313997,0.00407638545904356,0,0,0,NA,NA,NA,0,NA,0,NA,11.6011175525804,"ROM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM1123DDDOGCHOWHIPROTEIN_ROM","Dry Dog","Food Lion","DD DOG CHOW HI PROTEIN 48LB",-2.5,0,-2.852947977039,-1.91888442785471,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3619394307802,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1125DDALPO_ROM","Dry Dog","Food Lion","DD ALPO 28-31LB",-0.637917289933023,0,-1.73757912263587,-4.35632341285974,0,3.86814226563388,10,10,0,0,0,0,0,0,0,0,0,0,0,0,10.2325909733135,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1127DDALPO_ROM","Dry Dog","Food Lion","DD ALPO 17.6LB",0,0,-0.209352662375839,-1.14986706370641,0,0,0,0,0.428509630099185,0,0,0,0.0159234680399898,0,0,0,0,0,0,0,1.69611795330512,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1129DDBENEFULPREMIUM_ROM","Dry Dog","Food Lion","DD BENEFUL PREMIUM 03LB",-1.05220130693888,0,-3.34075287560808,-7.63696403181247,0,10,0,10,-7.10911370607855,0,0,0,0,0,0,0,0,0,0,0,16.2108894621694,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1130DDBENEFUL_ROM","Dry Dog","Food Lion","DD BENEFUL 12LB",-0.802322293619846,1.00137555212697,-0.175866814351911,0,0,4.22469276242835,0,10,0.307814080721466,0,0,0,0,0.120200184042826,0,0,0,0.12562767176437,-0.197847220910143,-0.175543891847005,9.03733259877811,"ROM",NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0.164437935512451,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,1
"ITEM1131DDBENEFUL_Retailer","Dry Dog","Food Lion","DD BENEFUL 14LB",-0.583579632352008,1.91891110893191,0,0,0,0.0209061505899466,0,0,0.903332274161966,0,0,0,0,0,0,0,-0.322056392339109,0,0,0,9.53027459561068,"Retailer",NA,NA,NA,NA,-0.296385577986541,-0.223419359320102,-0.53196539543569,0,0,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,2
