"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","approach_tpr","mean_tpr","std_tpr","rhat","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"ACV_Selling",6.63927301252684,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"monthno",0.0563608276294098,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"wk_sold_median_base_price_byppg_log",-0.1,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"tpr_discount_byppg",0.1,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"ACV_Feat_Only",0,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"ACV_Disp_Only",0,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"ACV_Feat_Disp",0.840092550502863,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","ACV_Feat_Disp",NA,NA,NA,NA,NA,NA,"ACV_Feat_Disp","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"tpr_discount_byppg_lag1",0,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","Pantry Loading 1",NA,NA,NA,NA,NA,NA,"Pantry Loading 1","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"tpr_discount_byppg_lag2",-0.0401069151634025,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","Pantry Loading 2",NA,NA,NA,NA,NA,NA,"Pantry Loading 2","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.712173704102457,NA,NA,"category_trend",-0.361004585578435,0.436275571135452,NA,NA,NA,NA,NA,NA,NA,"3rd Pass",",Min EDLP cutoff violated,,TPR counterintuitive case,,,,,,,TPR_lag1 counterintuitive case,,,,ACV_Feat counterintuitive case,,,",0,"Food Lion","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Size Range (Category)","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ",0.796587715592401,1.10256426512086,0.142306907196949,"tpr_discount_byppg",0.179596415133939,1.55706060270685,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM10CTFANCYFEASTDUOSCR","ROM","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM10CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ",0.796587715592401,1.10256426512086,0.142306907196949,"ACV_Selling",10,1.55706060270685,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM10CTFANCYFEASTDUOSCR","ROM","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM10CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ",0.796587715592401,1.10256426512086,0.142306907196949,"tpr_discount_byppg_lag1",-0.473888598812208,1.55706060270685,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM10CTFANCYFEASTDUOSCR","ROM","Pantry Loading 1",NA,NA,NA,NA,NA,NA,"Pantry Loading 1","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM10CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ",0.796587715592401,1.10256426512086,0.142306907196949,"tpr_discount_byppg_lag2",-0.7255253394038,1.55706060270685,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM10CTFANCYFEASTDUOSCR","ROM","Pantry Loading 2",NA,NA,NA,NA,NA,NA,"Pantry Loading 2","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM10CTFANCYFEASTDUOSCR","Cat Treats","NPP","ITEM10CTFANCYFEASTDUOSCR_ROM","CT FANCY FEAST DUOS CR 02.1OZ",0.796587715592401,1.10256426512086,0.142306907196949,"monthno",-0.194861320899103,1.55706060270685,NA,NA,NA,NA,NA,NA,NA,"1st Pass",NA,1,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM10CTFANCYFEASTDUOSCR","ROM","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FANCY FEAST DUOS CR 02.1OZ"
"ITEM11CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM11CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.511413892683759,0,0,"wk_sold_median_base_price_byppg_log",-0.5682488862584,0.0468168796400019,"No Change",-0.316649944686781,0.255367332078978,"No Change",2.14286643378406,0.615677487254075,0.999976722773578,"1st Pass","No Change",2,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM11CTFRISKIESPARTYMIXCR","ROM","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM11CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM11CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.511413892683759,0,0,"tpr_discount_byppg",1.2795313460752,0.0468168796400019,"No Change",-0.316649944686781,0.255367332078978,"No Change",2.14286643378406,0.615677487254075,0.999954584885472,"1st Pass","No Change",2,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM11CTFRISKIESPARTYMIXCR","ROM","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM11CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM11CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.511413892683759,0,0,"ACV_Disp_Only",4.90028978674766,0.0468168796400019,"No Change",-0.316649944686781,0.255367332078978,"No Change",2.14286643378406,0.615677487254075,0.999965035796533,"1st Pass","No Change",2,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM11CTFRISKIESPARTYMIXCR","ROM","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
"ITEM11CTFRISKIESPARTYMIXCR","Cat Treats","NPP","ITEM11CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.511413892683759,0,0,"ACV_Feat_Disp",9.30345800938609,0.0468168796400019,"No Change",-0.316649944686781,0.255367332078978,"No Change",2.14286643378406,0.615677487254075,0.999904865054915,"1st Pass","No Change",2,"Food Lion","ROM",NA,NA,NA,NA,NA,"ROM","ITEM11CTFRISKIESPARTYMIXCR","ROM","ACV_Feat_Disp",NA,NA,NA,NA,NA,NA,"ACV_Feat_Disp","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ"
