"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","WB_Comp_Interaction_TPR_3","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_3","CB_Comp_TPR_6","CB_Comp_TPR_7","CB_Comp_TPR_8","WB_Comp_TPR_4","CB_Comp_TPR_10","CB_Comp_TPR_11","CB_Comp_TPR_12","CB_Comp_TPR_13","CB_Comp_TPR_9","WB_Comp_TPR_5"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,0,1,"Retailer","Meijer",NA,2790,0,NA,3.49072100785895,3.47616567142918,0.0222632182298907,0,0.00054,0,0.6302,1.23159157864983,0.0222632182298907,0.0163249273760169,35,1055.92857142857,1018.64094490722,0,NA,NA,NA,NA,NA,NA,NA,NA,37.2876265213501,3453.62069877651,81.0043012234883,81.0043012234883,0,0,0,0,44.1660676355843,44.1660676355843,3851.85461264844,1103.37254521949,2217.45,0,2139.14598430517,2217.45,71.3617870204575,71.3617870204575,NA,NA,1166.41211891261,3896.02068028402,151.576549431548,3.45814029549599,"2022-12-31",NA,2.1,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,1,0,"Retailer","Meijer",NA,7419.23076923077,0,NA,3.49010836319103,3.47513093049446,0,0,0.00241692307692308,0,0.556559230769231,1.14935325700378,0,0,31.9230769230769,684.076923076923,614.182273889688,0,NA,NA,NA,NA,NA,NA,NA,NA,69.8946491872355,2136.41606756625,222.812393972212,222.812393972212,0,0,0,0,7.64427259270615,7.64427259270615,2155.23102120414,617.525858563149,1436.56153846154,0,1289.78277516834,1436.56153846154,145.279656259815,145.279656259815,NA,NA,627.475336221169,2162.87529379685,28.2731454337822,3.45169209248075,"2022-09-24",NA,2.1,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",1,0,0,"Retailer","Meijer",NA,9380.76923076923,0,NA,3.49002846320588,3.47661533077596,0,0,0.0106607692307692,0,0.518641538461538,1.08339276459151,0,0,28.9230769230769,462.615384615385,431.109649484848,0,NA,NA,NA,NA,NA,NA,NA,NA,31.5057351305366,1500.61653141362,105.288083970999,105.288083970999,0,0,0,0,10.9183743295885,10.9183743295885,1604.37524768081,459.701986314465,971.571013247863,0,905.405167490886,971.571013247863,66.1243800699346,66.1243800699346,NA,NA,465.324389457162,1615.2936220104,8.63647994556214,3.47162088072595,"2022-06-25",NA,2.10009913899139,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ","Cat Treats","NPP",0,0,0,"Retailer","Meijer",NA,8220,0,NA,3.47867732930895,3.46887933634993,0,0,0,0,0.11211,1.06819447128658,0,0,27,114.5,82.0213566409585,0,NA,NA,NA,NA,NA,NA,NA,NA,32.4786433590415,285.77932455602,111.79067544398,111.79067544398,NA,NA,0,0,0.194694624937085,NA,374.399122927915,107.603570468811,240.770268623216,0,172.462459582769,240.770268623216,68.3078090404475,68.3078090404475,NA,NA,107.955698740287,374.593817552852,1.60643713874201,3.46887933634993,"2022-03-26",NA,2.10109124087591,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"Retailer","Meijer",NA,5539.92857142857,0,NA,10.088996915893,10.0071037834795,0,0,0.00459857142857143,0,0.693866428571429,1.23159157864983,0,0,35,1352.85714285714,1205.72981733014,2,NA,NA,NA,NA,NA,NA,NA,NA,147.127325527003,12150.6371357214,1241.88429285,949.951969416569,278.577268638216,0,311.157104773277,0,515.929108724338,237.351840086123,12177.006429431,1206.98566467762,7858.69658305973,0,7003.18096361964,7858.69658305973,831.94739696649,831.94739696649,0,291.932323433434,1282.17228062796,12692.9355381554,256.533345173106,9.90941424901921,"2022-12-31",NA,5.81305354633247,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"Retailer","Meijer",NA,5313.23076923077,0,NA,10.04883026517,10.0019211109459,0.00400325883530233,0,0.0336646153846154,0,0.698928461538462,1.14935325700378,0.00400325883530233,0.00400325883530233,31.9230769230769,1276.07692307692,1212.6656219382,2,NA,NA,NA,NA,NA,NA,NA,NA,63.4113011387238,12144.2293413358,509.442197125727,423.617104063333,136.159065805413,0,143.513660058343,0,482.370865650288,346.211799844875,12330.1027179374,1227.09102318742,7374.17587282868,0,7006.08890601001,7374.17587282868,358.014972024967,358.014972024967,NA,NA,1292.37649624152,12812.4735835877,168.033156490661,9.96373513548676,"2022-09-24",NA,5.78653173500116,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"Retailer","Meijer",NA,6238.61538461538,0,NA,9.44484210219222,9.38542796229808,0.0127698178254888,0,0.0503576923076923,0,0.712860769230769,1.08339276459151,0.0127698178254888,0.0127698178254888,28.9230769230769,1382.23076923077,1323.132555458,2,NA,NA,NA,NA,NA,NA,NA,NA,59.0982137727738,12414.347860066,270.455216857079,232.949449564842,114.966467744736,0,117.56896756049,0,461.160931140322,346.194463395585,12740.6885828586,1351.75046653995,7892.41060416743,0,7554.04744504517,7892.41060416743,270.409226499432,270.409226499432,NA,NA,1439.42461281173,13201.8495139989,336.007921912309,9.37847563802612,"2022-06-25",NA,5.72197775640551,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,0,"Retailer","Meijer",NA,6031.5,0,NA,8.76305431420262,8.69729097867925,0,0.0656308333333333,0.0421583333333333,0.00166083333333333,0.732348333333333,1.07557793582522,0,0,26,1609.25,1575.12524715674,2,NA,NA,NA,NA,NA,NA,NA,NA,34.1247528432608,13567.0517099152,270.113290084836,240.817890894228,182.756860945843,0,192.138980941699,0,722.223172142074,539.466311196229,14094.5998632443,1621.81921325511,9088.42569768141,0,8894.8435758435,9088.42569768141,193.387335091992,193.387335091992,NA,NA,1726.49746444002,14816.8230353863,174.994493309579,8.65815187492996,"2022-03-26",NA,5.65316753709691,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,0,1,"ROM","Meijer",NA,NA,NA,NA,9.97801096941023,9.90237553295206,0,0.000578571428571429,0.00371571428571429,0,0.489179285714286,1.23159157864983,0,0,35,7517.80292857143,7389.33990497374,2,NA,NA,0,NA,9.90941424901921,NA,NA,NA,128.463023597692,72901.6810742871,1264.49021142718,1264.49021142718,NA,NA,0,0,0,NA,74746.6040237738,7576.09073220331,NA,0,NA,NA,NA,NA,NA,NA,7576.09073220331,74746.6040237738,847.255818652381,9.86644975126046,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",0,1,0,"ROM","Meijer",NA,NA,NA,NA,9.84324342150743,9.73975362202349,0,0,0.00592923076923077,0,0.492953846153846,1.14935325700378,0,0,31.9230769230769,7594.464,7486.0965573073,2,NA,NA,0,NA,9.96373513548676,NA,NA,NA,108.367442692696,72898.696390236,1054.49391745632,1054.49391745632,NA,NA,0,0,0,NA,73207.1506598302,7517.73638344377,NA,0,NA,NA,NA,NA,NA,NA,7517.73638344377,73207.1506598302,800.137168942328,9.73790106404845,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ","Cat Treats","NPP",1,0,0,"ROM","Meijer",NA,NA,NA,NA,9.07262844020581,9.0325309382335,0,0,0.0145846153846154,0,0.495453461538462,1.08339276459151,0,0,28.9230769230769,8248.54730769231,7888.47941315584,2,NA,NA,0.00534082616662096,NA,9.37847563802612,NA,NA,NA,360.067894536466,71108.9481931888,3223.50865296502,3223.50865296502,NA,NA,0,0,0,NA,71598.9633471632,7941.53225987953,NA,0,NA,NA,NA,NA,NA,NA,7941.53225987953,71598.9633471632,459.995951531529,9.01757224427735,"2022-06-25",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
