"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","CT FANCY FEAST SAVORY PUREE 1.4OZ","NPP","Retailer","Meijer",0,"Fancy Feast"
"ITEM1007DDPURINAONEML","Dry Dog","DD PURINA ONE ML 16.5LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1007DDPURINAONEML","Dry Dog","DD PURINA ONE ML 16.5LB","NPP","ROM","Meijer",2,"Purina One"
"ITEM1012DTPURINAONETRUEINSTAOF","Dog Treats","DT PURINA ONE TRUE INST AOF","NPP","Retailer","Meijer",0,"Purina One"
"ITEM1014DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 04LB","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM1015DDPURINAONEML","Dry Dog","DD PURINA ONE ML 31.1LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1015DDPURINAONEML","Dry Dog","DD PURINA ONE ML 31.1LB","NPP","ROM","Meijer",2,"Purina One"
"ITEM1018DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 36LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1018DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 36LB","NPP","ROM","Meijer",2,"Purina One"
"ITEM1022DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 14LB","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM1023DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 40LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1024DDPURINAONEML","Dry Dog","DD PURINA ONE ML 40LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1024DDPURINAONEML","Dry Dog","DD PURINA ONE ML 40LB","NPP","ROM","Meijer",2,"Purina One"
"ITEM1025DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 57LB","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM1026DDPURINAONETRUINST","Dry Dog","DD PURINA ONE TRU INST 12LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1029DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 48-55LB","NPP","Retailer","Meijer",1,"Dog Chow Line"
"ITEM1029DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 48-55LB","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM1030DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 036OZ","NPP","ROM","Meijer",1,"Moist & Meaty"
"ITEM1032DDALPO","Dry Dog","DD ALPO 14LB","NPP","ROM","Meijer",1,"Alpo"
"ITEM1034DDBENEFUL","Dry Dog","DD BENEFUL 48LB","NPP","ROM","Meijer",1,"Beneful"
"ITEM1036DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 360OZ","NPP","ROM","Meijer",1,"Moist & Meaty"
"ITEM1038DDPURINAONEML","Dry Dog","DD PURINA ONE ML 44LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1041DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 15LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1058DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 03.8LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1058DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 03.8LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1059DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 15LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1059DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 15LB","NPP","ROM","Meijer",2,"Purina One"
"ITEM105CWBEYOND","Wet Cat","CW BEYOND 03OZ 12CT","NPP","Retailer","Meijer",2,"Beyond"
"ITEM105CWBEYOND","Wet Cat","CW BEYOND 03OZ 12CT","NPP","ROM","Meijer",1,"Beyond"
"ITEM1060DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 27.5LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1060DDPURINAONETRUINSTHIPRO","Dry Dog","DD PURINA ONE TRU INST HI-PRO 27.5LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM106PURINAONETRUINST","Dry Cat","DC PURINA ONE TRU INST 14.4LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1076DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 16.5LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1076DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 16.5LB","NPP","ROM","Meijer",2,"Purina One"
"ITEM1077DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 07.4-8LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1077DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 07.4-8LB","NPP","ROM","Meijer",2,"Purina One"
"ITEM1078DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM1078DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 31.1LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1089DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 03.5LB","NPP","Retailer","Meijer",1,"Dog Chow Line"
"ITEM1089DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 03.5LB","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM1091DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 20LB","NPP","Retailer","Meijer",2,"Dog Chow Line"
"ITEM1091DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 20LB","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM1104DDPURINAONEMLPUPPY","Dry Dog","DD PURINA ONE ML PUPPY 03LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1105DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 03LB","NPP","Retailer","Meijer",2,"Beyond"
"ITEM1105DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 03LB","NPP","ROM","Meijer",1,"Beyond"
"ITEM1106DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 06LB","NPP","Retailer","Meijer",1,"Beyond"
"ITEM1106DDBEYONDORGANIC","Dry Dog","DD BEYOND ORGANIC 06LB","NPP","ROM","Meijer",1,"Beyond"
"ITEM1110DDMERRICKBACKCOUNTRY","Dry Dog","DD MERRICK BACKCOUNTRY 20LB","NPP","ROM","Meijer",1,"Merrick"
"ITEM1113DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 13LB","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM111PURINAONETRUINST","Dry Cat","DC PURINA ONE TRU INST 03.2LB","NPP","Retailer","Meijer",2,"Purina One"
"ITEM111PURINAONETRUINST","Dry Cat","DC PURINA ONE TRU INST 03.2LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1122DTTREKKERSMT","Dog Treats","DT TREKKERS MT 05OZ","NPP","ROM","Meijer",1,"Trekker's"
"ITEM1138DTZUKESMININTRLSMT","Dog Treats","DT ZUKES MINI NTRLS MT 06OZ","NPP","ROM","Meijer",1,"Zuke's"
"ITEM1157DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 16-18LB","NPP","ROM","Meijer",1,"Pro Plan"
"ITEM11MTYDG","Wet Dog","DW MTY DG 05.5OZ 12CT","NPP","Retailer","Meijer",0,"Mighty Dog"
"ITEM1203DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 15LB","NPP","Retailer","Meijer",1,"Purina One"
"ITEM1203DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 15LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1205DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 27.5LB","NPP","Retailer","Meijer",0,"Purina One"
"ITEM1205DDPURINAONETRUINSTBNB","Dry Dog","DD PURINA ONE TRU INST B&B 27.5LB","NPP","ROM","Meijer",1,"Purina One"
"ITEM1207BEYONDMIXERSSUPPORT","Dry Dog","DW BEYOND BEEF JERKY BOOST 05OZ","NPP","Retailer","Meijer",1,"Beyond"
"ITEM1228DDPROPLANDEVPUPPY","Dry Dog","DD PRO PLAN DEV PUPPY 04-6LB","NPP","ROM","Meijer",1,"Pro Plan"
"ITEM12BEGGINMT","Dog Treats","DT BEGGIN MT 40OZ","NPP","Retailer","Meijer",2,"Beggin'"
"ITEM12BEGGINMT","Dog Treats","DT BEGGIN MT 40OZ","NPP","ROM","Meijer",2,"Beggin'"
"ITEM12CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 40CT","NPP","Retailer","Meijer",2,"Friskies"
"ITEM12CWFRISKIES","Wet Cat","CW FRISKIES 05.5OZ 40CT","NPP","ROM","Meijer",2,"Friskies"
"ITEM1302DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 48LB","NPP","Retailer","Meijer",1,"Dog Chow Line"
"ITEM1302DDDOGCHOWHIPROTEIN","Dry Dog","DD DOG CHOW HI PROTEIN 48LB","NPP","ROM","Meijer",1,"Dog Chow Line"
"ITEM1303DDBENEFUL","Dry Dog","DD BENEFUL 28LB","NPP","Retailer","Meijer",2,"Beneful"
"ITEM1303DDBENEFUL","Dry Dog","DD BENEFUL 28LB","NPP","ROM","Meijer",1,"Beneful"
"ITEM1305DDALPO","Dry Dog","DD ALPO 28-31LB","NPP","ROM","Meijer",1,"Alpo"
