"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","NPP","Cat Treats","CT FANCY FEAST SAVORY PUREE 1.4OZ",3.5,3,4,10,4,0,2,7.79212638046175,3.46082836812693,0,51.705,0,0,0,3.381,0,0,1,3,2.1,0,3,0,80.532,1,1,1,1,1,1,0,"Meijer","Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",NA,NA,0,4,0,0,0
"ITEM16CTDENTALIFEDNT_Retailer","NPP","Cat Treats","CT DENTALIFE DNT 13.5OZ",7,6,8,55,8,0,5,29.1645623420022,6.74243055555556,0,0.658,0,0,0,0,0,0,4,6,5.2,0,6,0,0.264,1,1,1,1,1,1,1,"Meijer","Retailer","CT DENTALIFE DNT 13.5OZ",NA,NA,0,7,0,0,0
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",10.1,9,12,18,11,0,6,9.8023222088746,8.78385753432729,0,66.305,0,84.934,0,10.402,0,5.306,5,7,5.7,0,7,0,71.935,1,1,1,1,1,1,1,"Meijer","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.861511468528759,0.067876000756752,2,3,0,0,0
"ITEM1CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",10,9,12,10,11,0,6,8.70549211718553,8.70928908719069,0.188,11.392,0,12.116,0,3.126,0,2.072,0,8.70928908719069,0,0,8.70928908719069,0,49.907,1,1,0,1,1,1,1,"Meijer","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.60941572387844,0.037402430473207,2,1,0,0,1
"ITEM27CTKITKABOODLECR_Retailer","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",0.6,0,1,55,1,0,0,50,0.6,0,0,0,0,0,0,0,0,0,0.6,0,0,0.6,0,0.37,1,1,1,1,1,1,1,"Meijer","Retailer","CT KIT KABOODLE CR 09OZ",NA,NA,0,1,0,0,0
"ITEM27CTKITKABOODLECR_ROM","NPP","Cat Treats","CT KIT KABOODLE CR 09OZ",3.7,3,5,26,4,0,-1,11.4733907550295,2.31524766925657,0,0.134,0,0.366,0,0.044,0,0,0,2.31524766925657,0,0,2.31524766925657,0,0.455,0,1,0,1,1,1,0,"Meijer","ROM","CT KIT KABOODLE CR 09OZ",NA,NA,1,4,1,0,1
"ITEM2CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.8,3,5,21,5,0,2,12.2343579282174,3.29111365791749,0,80.015,0,93.964,0,15.519,0,12.194,2,3,2.3,0,3,0,80.487,1,1,1,1,1,1,0,"Meijer","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.545418470087387,0.11566275229704,2,5,0,0,0
"ITEM2CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,9,4,0,2,8.13248924887322,3.2821929468844,0.595,19.854,0,14.064,0,0.774,0,0,0,3.2821929468844,0,0,3.2821929468844,0,43,1,1,1,1,1,1,0,"Meijer","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.858243023916141,0.0418188879189018,2,1,0,0,0
"ITEM38CTWHISKERLICKINSCR_Retailer","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",4.5,4,5,28,5,0,2,17.41498407622,3.88441374364536,0,39.174,0,70.413,0,2.367,0,2.105,2,4,3,0,4,0,61.011,1,1,1,1,0,0,1,"Meijer","Retailer","CT WHISKER LICKINS CR 10OZ",NA,NA,1,19,0,0,0
"ITEM38CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS CR 10OZ",4.9,4,6,0,6,0,3,0,4.33100622748682,0,4.019,0,1.838,0,2.22,0,0,0,4.33100622748682,0,0,4.33100622748682,0,16.992,0,0,1,0,0,1,0,"Meijer","ROM","CT WHISKER LICKINS CR 10OZ",NA,NA,1,0,1,1,0
