"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Description","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_RP_2","WB_Comp_TPR_1","WB_Comp_TPR_2","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","CB_Comp_TPR_4","CB_Comp_TPR_5","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_3","CB_Comp_TPR_6","CB_Comp_TPR_7","CB_Comp_TPR_8","WB_Comp_Interaction_TPR_1","WB_Comp_Interaction_TPR_2","WB_Comp_Interaction_TPR_3","WB_Comp_TPR_4","CB_Comp_TPR_10","CB_Comp_TPR_11","CB_Comp_TPR_12","CB_Comp_TPR_13","CB_Comp_TPR_9","WB_Comp_TPR_5","Model_flag"
"ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","Cat Treats","Meijer","CT FANCY FEAST SAVORY PUREE 1.4OZ",-1.18879426483803,1.33237935845814,0,0,3.2908427652669,0.105341138034169,0.622690465594503,0,0.957363076455646,0,-0.0133974774124065,0.00485500070264949,0.0484350497944103,0,0,0,0,0,0,0,0,4.01947053793652,"Retailer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ITEM1007DDPURINAONEML_Retailer","Dry Dog","Meijer","DD PURINA ONE ML 16.5LB",-1.51733724211018,2.06585753807981,-0.419456030541302,-0.216315272848677,3.0459468672567,0.037903173152945,0.164036468554172,0.0994734464300147,0.681552753163092,0,0,0,0,0,0,0,0,0.435106000152056,0,0,0,7.80978018405942,"Retailer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,2
"ITEM1007DDPURINAONEML_ROM","Dry Dog","Meijer","DD PURINA ONE ML 16.5LB",-0.417596539487327,0,0,0,0,0,0.769613891605023,0.697442565617175,0.676457088105254,0,0,0,0.00351781114152337,0,0,0,0,0,0,-0.299259764900013,-0.027376797685703,9.9759464558326,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,2
"ITEM1012DTPURINAONETRUEINSTAOF_Retailer","Dog Treats","Meijer","DT PURINA ONE TRUE INST AOF",-2.16239666967095,1.15027158978245,0,-0.498598574076806,0.1,0.403565086539951,0.899573980778546,0,0.132860038873447,0,0,0.176828912716554,0.00411961829823062,0,0,0,0,0,0,0,0,1.02807418329742,"Retailer",0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"ITEM1014DDDOGCHOWGREENBG_ROM","Dry Dog","Meijer","DD DOG CHOW GREEN BG 04LB",-2.5,0,-10.0141495827061,-12.0051871411598,0,10,10,10,-8.70332209210892,0,0,0,0,0,0,0,0,0,0,0,0,19.8424187171439,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1
"ITEM1015DDPURINAONEML_Retailer","Dry Dog","Meijer","DD PURINA ONE ML 31.1LB",-0.1,2.43509429702732,-0.258074047770084,0,2.75021150610897,0.0571127808669762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.00653731082889,"Retailer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,2
"ITEM1015DDPURINAONEML_ROM","Dry Dog","Meijer","DD PURINA ONE ML 31.1LB",-1.04873509311472,0,0,0,0,0,5.78163969285521,8.53845918882956,0.897018231395207,0,0,-0.0191401902039996,0,0,0,0,0,0,0,-0.191589512951418,0,10.5614495394601,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,2
"ITEM1018DDPURINAONETRUINST_Retailer","Dry Dog","Meijer","DD PURINA ONE TRU INST 36LB",-0.141446924662156,0.840865600324178,-0.146999115794196,-0.246714359821523,2.81336993849861,0.014843491105252,0,3.25625778269375,0,0,0,0,0,0,0,0,0,0,0,0,0,4.44360474935448,"Retailer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,2
"ITEM1018DDPURINAONETRUINST_ROM","Dry Dog","Meijer","DD PURINA ONE TRU INST 36LB",-0.56806183622741,0.898286374118932,0,-0.426343769866721,0,0.0662129539492287,0.532353136329257,3.05668928799391,0.521742564294906,0,0,0,0.0122037131770649,0,0,0,0,0,0,0,0,8.4663420821457,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,2
"ITEM1022DDDOGCHOWGREENBG_ROM","Dry Dog","Meijer","DD DOG CHOW GREEN BG 14LB",-2.5,0,-3.06127975100351,-1.003669148809,0,0,10,0,0,0,0,0,0.0135090230111351,0,0,0,0,0,0,0,0,13.106390350707,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,1
