"Acting_PPG_Item_No","PPG_Cat","PPG_MFG","PPG_Item_No","Modelled_PPG_Description","model_RSq","model_CVErrorMean","model_CVErrorSD","model_coefficient_name","model_coefficient_value","TrainMAPE","approach_edlp","mean_edlp","std_edlp","approach_tpr","mean_tpr","std_tpr","rhat","Run","Reason","Model_flag","Retailer","Market","Brand","size_cuts","price_cuts","grp_based_on","Model_type","model_box","Modelled_PPG_Item_No","acting_box","Variable","CompKey_WB_Interaction","CompKey_WB_Interaction_TPR","CompKey_CB","CompKey_WB","CompKey_CB_TPR","CompKey_WB_TPR","CompKey","Acting_PPG_Item"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"ACV_Selling",3.2908427652669,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","ACV_Selling",NA,NA,NA,NA,NA,NA,"ACV_Selling","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"monthno",0.0484350497944103,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","monthno",NA,NA,NA,NA,NA,NA,"monthno","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"wk_sold_median_base_price_byppg_log",-1.18879426483803,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","Regular Price",NA,NA,NA,NA,NA,NA,"Regular Price","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"tpr_discount_byppg",1.33237935845814,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","Promoted Discount",NA,NA,NA,NA,NA,NA,"Promoted Discount","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"ACV_Feat_Only",0.105341138034169,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","ACV_Feat_Only",NA,NA,NA,NA,NA,NA,"ACV_Feat_Only","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"ACV_Disp_Only",0.622690465594503,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","ACV_Disp_Only",NA,NA,NA,NA,NA,NA,"ACV_Disp_Only","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"flag_qtr3",-0.0133974774124065,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","flag_qtr3",NA,NA,NA,NA,NA,NA,"flag_qtr3","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"flag_qtr4",0.00485500070264949,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","flag_qtr4",NA,NA,NA,NA,NA,NA,"flag_qtr4","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM10002CTFANCYFEASTSAVORYPUREE","Cat Treats","NPP","ITEM10002CTFANCYFEASTSAVORYPUREE_Retailer","CT FANCY FEAST SAVORY PUREE 1.4OZ",0.893963495978502,NA,NA,"category_trend",0.957363076455646,0.153063097229545,NA,NA,NA,NA,NA,NA,NA,"1st Pass","No Change",0,"Meijer","Retailer","FANCY FEAST","(0,20]","(2,4]","Within Brand","lme","Retailer","ITEM10002CTFANCYFEASTSAVORYPUREE","Retailer","category_trend",NA,NA,NA,NA,NA,NA,"category_trend","CT FANCY FEAST SAVORY PUREE 1.4OZ"
"ITEM11CTTEMPTATIONSCR","Cat Treats","NPP","ITEM3CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.618087798883926,0,0,"ITEM11CTTEMPTATIONSCR_Retailer_PromotedDiscount",-0.175354429219383,0.0874554981351903,"No Change",-1.8031116007227,0.463555786825511,"No Change",1.93586300136404,0.295149494321098,0.999967800401879,"1st Pass","No Change",2,"Meijer","Retailer",NA,NA,NA,NA,NA,"Retailer","ITEM3CTFRISKIESPARTYMIXCR","Retailer","Promoted Discount",NA,NA,NA,NA,NA,1,"WB_Comp_TPR_1","CT TEMPTATIONS CR 02.1-3OZ"
