"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q1","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4"
1113200040,"ROM","DD ALPO 04LB","ITEM866DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Meijer","ALPO",NA,0,0.833793721603474,0.812910793098386,0.735726536541459,0.70986994318115,0.748345173691037,0.767418460970288,0.700165111842728,0.576574820733955
1113200040,"Retailer","DD ALPO 04LB","ITEM866DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Meijer","ALPO",2.88953488372093,0,0.65898331353264,0.652216748768473,0.662186403074477,0.639813581890812,0.573247078464107,0.200803212851406,0.354838709677419,0.25
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM46ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Meijer","ALPO",NA,0,0.575241207675472,0.569093851637161,0.550595570904504,0.54913533113248,0.533339219352802,0.530041054504961,0.533208852993871,0.507766377416487
1113200392,"Retailer","DT ALPO VARIETY SNAPS CR 32OZ","ITEM46ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Meijer","ALPO",2.05068940959336,0,0.46599143334819,0.468789761245416,0.465870106710228,0.464507750545716,0.453450131547477,0.47916376791429,0.518792628065593,0.64382490880667
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM792DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","Meijer","ALPO",NA,0,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM1308DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","Meijer","ALPO",NA,0,1,1,1,1,1,1,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Meijer","ALPO",NA,0,0.000619091602798114,0.0000994733964660719,0.0000299409871626304,0.0000050407092382745,0,0,0,0
1113210840,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Meijer","ALPO",0.760087301587302,0.04,0.0000899058842726963,0.0000173386852075007,0,0,0,0,0,0
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","Meijer","ALPO",NA,0,0.000311879993749004,0.0000339532392914238,0,0,0,0,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM52ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Meijer","ALPO",NA,0,0.000298310985414735,0,0,0,0,0,0,0
1113210929,"Retailer","DW ALPO 13.2OZ 12CT","ITEM52ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Meijer","ALPO",0.76092849849208,0,0.000376564862356129,0,0,0,0,0,0,0
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Meijer","ALPO",NA,0,0.000421775509355204,0.0000438276727046633,0.0000332012279870057,0.000260458487050882,0.000991016611188744,0.00020407594892341,0,0
1113211755,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Meijer","ALPO",0.760766016713092,0.04,0.0000224764710681741,0.0000260080278112511,0,0,0,0,0,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Meijer","ALPO",NA,0,0.000550669320957494,0.0000948455786730671,0.0000449114807439456,0.00000168023641275817,0.00000698526712164412,0,0,0.000191560349076593
1113212516,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Meijer","ALPO",0.760374149659864,0.04,0.0000449529421363481,0,0,0,0,0,0,0
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Meijer","ALPO",NA,0,0.00260419026381694,0.000721187473030454,0.0000232874344598237,0.0000050407092382745,0.00000419116027298647,0.00000181140001884762,0,0
1113212531,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Meijer","ALPO",0.7600706610605,0.04,0,0,0.00000842211080331103,0,0,0,0,0
1113212534,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","Meijer","ALPO",NA,0,0.00194896942290661,0.000269293902306964,0.0000848327969607862,0.00000840118206379083,0.0000265440150622477,0,0,0
1113212534,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","Meijer","ALPO",0.760177095911168,0.04,0,0,0,0,0,0,0,0
1113212541,"ROM","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Meijer","ALPO",NA,0,0.000676880986070714,0.000231191755243077,0.00000499016452710507,0.00000168023641275817,0,0,0.000018132656593577,0
1113212541,"Retailer","DW ALPO 13.0-13.2OZ","ITEM14ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Meijer","ALPO",0.760021560421062,0.04,0.000179811768545393,0,0,0,0,0,0,0
