"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","Missing_data_flag","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","true_lift_doll","Cross_predicted_normalised","Within_predicted_normalised","Cross_predicted_non_normalised","Within_predicted_non_normalised","gross_lift_on_pred","true_lift_on_pred","original_base_doll","original_base_vol","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Within","Cross","pred_vol_original","wk_sold_doll_byppg_original","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7"
"ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",1,0,0,"ROM","Target",NA,NA,NA,NA,13.4594883925913,13.4440045038607,0,0.000946153846153846,0.000702307692307692,0,0.300680769230769,1.12438979407232,0,0,37.9230769230769,0,21820.3230769231,20889.8032592382,2,NA,NA,NA,NA,NA,NA,930.519817684908,280371.37950989,13207.9990285712,13207.9990285712,NA,NA,0,0,0,NA,289351.370024731,21567.0776204943,NA,0,NA,NA,NA,NA,NA,NA,21567.0776204943,289351.370024731,521.69601728603,13.4358735293844,"2023-04-22",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,0,"ROM","Target",NA,NA,NA,NA,14.1938458130203,14.1370309350181,0,0.00116,0.0007125,0.0000333333333333333,0.288197916666667,1.16913192627193,0,0,35,0,24522.5199166667,23614.2761596003,2,NA,NA,NA,NA,NA,NA,908.243757066341,333358.815038074,12830.6463785929,12830.6463785929,NA,NA,0,0,0,NA,333384.820133574,23616.1273645958,NA,0,NA,NA,NA,NA,NA,NA,23616.1273645958,333384.820133574,1870.24701673006,14.1168848982157,"2023-03-25",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,1,"ROM","Target",NA,NA,NA,NA,14.1438146492702,14.0791610935732,0,0,0.000561428571428571,0,0.305156428571429,1.24635365846736,0,0,44,0,26014.1286428571,24374.992136357,2,NA,NA,NA,NA,NA,NA,1639.13650650017,343112.975527536,23080.3721153211,23080.3721153211,NA,NA,0,0,0,NA,343183.154442579,24380.0022579325,NA,0,NA,NA,NA,NA,NA,NA,24380.0022579325,343183.154442579,1766.57189816865,14.075841115064,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,1,0,"ROM","Target",NA,NA,NA,NA,14.0891340457582,14.0090014854121,0,0,0.00133153846153846,0,0.299787692307692,1.1597648759615,0,0,40.9230769230769,0,22473.0819230769,21979.2068336516,2,NA,NA,NA,NA,NA,NA,493.875089425292,307723.082706542,6911.30360115051,6911.30360115051,NA,NA,0,0,0,NA,314238.793884617,22444.2847536517,NA,0,NA,NA,NA,NA,NA,NA,22444.2847536517,314238.793884617,2044.09599530398,14.000865460945,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"Retailer","Target",NA,NA,NA,NA,3.46128737102079,3.40914678629938,0,0.05685,0.00620615384615385,0,0.732237307692308,1.12438979407232,0,0.00706102951110015,37.9230769230769,0,13393.3076923077,11803.9962368052,2,NA,NA,NA,NA,NA,NA,1589.3114555025,40895.5620154519,5005.60413839428,5005.60413839428,NA,NA,0,0,1320.89591213197,NA,40961.1103787505,11822.5599890807,NA,0,NA,NA,NA,NA,NA,NA,12378.348284668,42282.0062908824,763.785879942642,3.40785133736148,"2023-04-22",NA,2.40766909137315,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"Retailer","Target",NA,NA,NA,NA,3.61978390765097,3.54747094650976,0,0,0.00647666666666667,0,0.79237125,1.16913192627193,0,0,35,0,14447.5,13772.5103907986,2,NA,NA,NA,NA,NA,NA,674.989609201425,49091.2215022544,2022.7984977456,2022.7984977456,NA,NA,0,0,998.550732338794,NA,53456.8325955976,14803.4377202658,NA,0,NA,NA,NA,NA,NA,NA,15405.9094383472,54455.3833279364,1241.07428130277,3.53460133988776,"2023-03-25",NA,2.47098545956832,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"Retailer","Target",NA,26392.2857142857,0,NA,3.59820201909886,3.52866934490441,0.00711752395950244,0,0.00308642857142857,0,0.735023214285714,1.24635365846736,0.00711752395950244,0.00711752395950244,44,0,13965,12632.9249123131,2,NA,NA,NA,NA,NA,NA,1332.07508768687,44895.6476606131,3734.6901965297,3662.33025868916,NA,NA,24.0903088198719,48.2696290206685,2233.10019081564,NA,46354.0607563717,12948.0228828285,35123.1326265335,0,31755.4509396007,35123.1326265335,3088.43197019928,3088.43197019928,NA,NA,13906.1806237647,48587.1609471873,1616.40593362699,3.52690241959987,"2022-12-31",NA,2.51041489396252,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"Retailer","Target",NA,29808,0,NA,3.59001696443537,3.52857409776389,0,0,0.00590230769230769,0,0.695200769230769,1.1597648759615,0,0,40.9230769230769,0,11303.2307692308,10997.0784703916,2,NA,NA,NA,NA,NA,NA,306.152298839184,39117.4369253758,717.737690008853,717.737690008853,NA,NA,0,0,759.039566761441,NA,40411.701778922,11262.6426630418,27948.2499130199,0,27193.6938957772,27948.2499130199,752.415044325105,752.415044325105,NA,NA,11681.6115192891,41170.7413456834,747.557003207267,3.5244692224114,"2022-09-24",NA,2.47265137908254,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Target",NA,NA,NA,NA,3.56346994623007,3.54655957377453,0,0.00386230769230769,0.00195538461538462,0.000387692307692308,0.359823076923077,1.12438979407232,0,0,37.9230769230769,0,136017.769615385,136017.769615385,2,NA,NA,NA,NA,0,NA,0,479966.475923077,0,0,NA,NA,0,0,0,NA,507713.815507937,143839.769043761,NA,0,NA,NA,NA,NA,NA,NA,143839.769043761,507713.815507937,3278.68790675464,3.54009655646011,"2023-04-22",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Target",NA,NA,NA,NA,3.74027396361583,3.73574107264274,0,0.000263333333333333,0.0010425,0,0.3548275,1.16913192627193,0,0,35,0,132211.5225,132006.691630781,2,NA,NA,NA,NA,0,NA,204.830869218752,493089.119125312,762.715041355041,762.715041355041,NA,NA,0,0,0,NA,509822.395826751,136474.24481063,NA,0,NA,NA,NA,NA,NA,NA,136474.24481063,509822.395826751,623.447586147418,3.73561548555678,"2023-03-25",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
