"PPG_Item_No","PPG_Item","PPG_Cat","PPG_MFG","flag_qtr2","flag_qtr3","flag_qtr4","Market","Retailer","PPG_Retailer","EachesLC","EachesOI","ImputedLC_retailer","Final_baseprice","Estimated_baseprice","tpr_discount_byppg","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","ACV_Selling","category_trend","tpr_discount_byppg_lag1","tpr_discount_byppg_lag2","monthno","Missing_data_flag","pred_vol","base_vol","Model_flag","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","lift_vol","base_doll","lift_doll","Purina_sales","Purina_spend","Purina_Base_sales","Purina_ratf","Purina_Gross_Lift","Purina_True_Lift","Cross_non_normalised","Within_non_normalised","true_lift_doll","Within","Cross","Spend","median_baseprice_byppg","Date","OffInvoice","ListCost","qtr","borrowedqtr","missing_qtrs","WB_Comp_Interaction_RP_1","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7"
"ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",1,0,0,"ROM","Target",NA,NA,NA,NA,14.2002625184546,14.2002625184546,0,0,0,0,0.273475,1.12438979407232,0,0,29.6153846153846,0,19827.9978924105,19827.9978924105,2,NA,NA,NA,NA,NA,NA,0,281562.775287593,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,14.2002625184546,"2023-04-22",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,0,"ROM","Target",NA,NA,NA,NA,14.2002625184546,14.2002625184546,0,0,0,0,0.273475,1.16913192627193,0,0,35,0,22513.2086521383,22513.2086521383,2,NA,NA,NA,NA,NA,NA,0,319693.472993107,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,14.2002625184546,"2023-03-25",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,0,1,"ROM","Target",NA,NA,NA,NA,14.2002625184546,14.2002625184546,0,0,0,0,0.273475,1.24635365846736,0,0,32,0,22394.3393657018,22394.3393657018,2,NA,NA,NA,NA,NA,NA,0,318005.497920328,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,14.2002625184546,"2022-12-31",NA,NA,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM103CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","Cat Treats","NPP",0,1,0,"ROM","Target",NA,NA,NA,NA,14.2002625184546,14.2002625184546,0,0,0,0,0.273475,1.1597648759615,0,0,28.9230769230769,0,20717.102995206,20717.102995206,2,NA,NA,NA,NA,NA,NA,0,294188.301153787,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,14.2002625184546,"2022-09-24",NA,NA,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"Retailer","Target",NA,NA,NA,NA,3.59048141025211,3.59048141025211,0,0,0,0,0.78804,1.12438979407232,0,0.00706102951110015,29.6153846153846,0,12741.3541398213,10793.8431716863,2,NA,NA,NA,NA,NA,NA,1947.510968135,38746.99923191,6983.07679686007,NA,0,NA,NA,NA,NA,0,0,6983.07679686007,NA,NA,17.5191516971707,3.58911336560813,"2023-04-22",NA,2.40766909137315,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"Retailer","Target",NA,NA,NA,NA,3.59048141025211,3.59048141025211,0,0,0,0,0.78804,1.16913192627193,0,0,35,0,13681.1184021766,13512.0058067381,2,NA,NA,NA,NA,NA,NA,169.112595438417,48341.3527559758,600.60702397957,NA,0,NA,NA,NA,NA,0,0,600.60702397957,NA,NA,179.841514517571,3.57740099793505,"2023-03-25",NA,2.47098545956832,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,1,"Retailer","Target",NA,26392.2857142857,0,NA,3.59048141025211,3.59048141025211,0.00711752395950244,0,0,0,0.78804,1.24635365846736,0.00711752395950244,0.00711752395950244,32,0,14453.4065871378,11943.7495163184,2,NA,NA,NA,NA,NA,NA,2509.65707081945,42883.8106070488,8565.01645249003,35123.1326265335,0,29813.2172535811,35123.1326265335,4996.88867285554,4996.88867285554,23.2509814636319,3.83991527606287,8537.92555575033,3.83991527606287,23.2509814636319,445.860606394969,3.58867952514345,"2022-12-31",NA,2.51041489396252,4,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,1,0,"Retailer","Target",NA,29808,0,NA,3.59048141025211,3.59048141025211,0,0,0,0,0.78804,1.1597648759615,0,0,28.9230769230769,0,13422.0180208738,10386.3513563799,2,NA,NA,NA,NA,NA,NA,3035.66666449392,37292.0014654287,10843.4873818003,27948.2499130199,0,25647.8553070121,27948.2499130199,2294.8706672679,2294.8706672679,0,0,10843.4873818003,0,0,56.0173447871425,3.58630236519184,"2022-09-24",NA,2.47265137908254,3,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",1,0,0,"ROM","Target",NA,NA,NA,NA,3.7670379717809,3.7670379717809,0,0,0,0,0.35197,1.12438979407232,0,0,29.6153846153846,0,127359.919534506,127359.919534506,2,NA,NA,NA,NA,0,NA,0,479769.652969443,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.7670379717809,"2023-04-22",NA,NA,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1CTFRISKIESPARTYMIXCR_ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","NPP",0,0,0,"ROM","Target",NA,NA,NA,NA,3.7670379717809,3.7670379717809,0,0,0,0,0.35197,1.16913192627193,0,0,35,0,133500.253742656,133500.253742656,2,NA,NA,NA,NA,0,NA,0,502900.525090972,0,NA,0,NA,NA,NA,NA,0,0,0,NA,NA,0,3.7670379717809,"2023-03-25",NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
