"","Cannibal_PPG","Date","box","Cannibalised_PPG","Model_flag","Cannibal_PPG_Description","Category","Retailer","Cannibal_Doll","Cannibal_dollars_on_predicted"
"1","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-04-24","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",202.828578354042,0
"2","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-04-24","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",367.945613770353,0
"3","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-05-22","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",0,283.94866179266
"4","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-05-22","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",0,424.502988020896
"5","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-06-05","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",0,194.210879466895
"6","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-06-05","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",0,279.696008796187
"7","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-11-06","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",0,623.983348319824
"8","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-11-06","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",0,1416.28580872319
"9","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-11-27","Cross","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",0,18.6691122937314
"10","ITEM1CTFRISKIESPARTYMIXCR_Retailer","2021-11-27","Within","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,"CT FRISKIES PARTY MIX/NAT YUM CR 06OZ","Cat Treats","Target",0,48.5492369662847
