"Modelled_PPG_Item_No","PPG_Cat","Retailer","PPG_Item","Regular_Price","Promoted_Discount","Pantry_Loading_1","Pantry_Loading_2","ACV_Selling","ACV_Feat_Only","ACV_Disp_Only","ACV_Feat_Disp","category_trend","flag_qtr2","flag_qtr3","flag_qtr4","monthno","WB_Comp_RP_1","WB_Comp_TPR_1","CB_Comp_RP_1","CB_Comp_RP_2","CB_Comp_TPR_1","CB_Comp_TPR_2","Intercept","Market","WB_Comp_RP_2","WB_Comp_RP_3","WB_Comp_RP_4","WB_Comp_TPR_2","WB_Comp_TPR_3","WB_Comp_TPR_4","WB_Comp_TPR_5","CB_Comp_RP_3","CB_Comp_RP_4","CB_Comp_RP_5","CB_Comp_TPR_3","WB_Comp_Interaction_RP_1","CB_Comp_TPR_4","WB_Comp_RP_5","WB_Comp_RP_6","WB_Comp_RP_7","CB_Comp_RP_6","CB_Comp_TPR_5","CB_Comp_TPR_6","CB_Comp_TPR_7","Model_flag"
"ITEM1008DDPROPLANESSENTIAL_ROM","Dry Dog","Target","DD PRO PLAN ESSENTIAL 33-35LB",-0.602944480403624,0.319037027804495,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,0,0,8.59381468843859,"ROM",0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,1
"ITEM1024DTHONESTTODOGAOF_ROM","Dog Treats","Target","DT HONEST TO DOG AOF",-0.598058337762963,0.305199644271504,-0.103530657936326,-0.22679688483019,0,0,10,0,0,0,0,0,-0.257377465981653,0,0,0,0,0,0,7.0230608492558,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1028DTMERRICKBACKCOUNTRYMT_ROM","Dog Treats","Target","DT MERRICK BACKCOUNTRY MT 03.3-6OZ",-2.5,0.960233759552209,-1.60311995017334,-0.13731361510126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.92792374040894,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1029DTMERRICKBACKCOUNTRYCR_ROM","Dog Treats","Target","DT MERRICK BACKCOUNTRY CR 10OZ+",-2.5,6.54196206086874,-1.103255484076,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.0209912706233,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM102CWBEYOND_Retailer","Wet Cat","Target","CW BEYOND 03OZ",-0.736984374146504,3.39649950209563,-1.05583723709083,-0.609569341945063,2.87670363556468,0.0939786356146597,3.18571724473311,0,1.29008108373058,-0.292720945418647,-0.289496901611208,-0.201308967918035,-0.0300706742853339,0,-0.590641354363747,0,0,0,0,7.04534204493141,"Retailer",0,NA,NA,-0.598638233071482,0,NA,NA,0,NA,NA,0,2.77951012850188,NA,NA,NA,NA,NA,NA,NA,NA,2
"ITEM102CWBEYOND_ROM","Wet Cat","Target","CW BEYOND 03OZ",-2.5,1.69411380794259,-0.166816629864012,-0.169241676712868,0,0,10,10,0,0,0,0,0.0032103486542049,0,0,1,0,-0.519286900311715,0,11.9088190133216,"ROM",0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1030DTMERRICKFRSKSSDT_ROM","Dog Treats","Target","DT MERRICK FRS KSS DT 09.5-11.5OZ",-1.50673978991667,3.75499622649543,0,0,0,0,0,0,0,0,0,0,0.0485552284021752,0,0,0,0,0,0,5.08269980404832,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1031DTMERRICKFRSKSSDT_ROM","Dog Treats","Target","DT MERRICK FRS KSS DT 05.5-6.5OZ",-1.09862113464682,1.71647783245842,-0.0469815134263193,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,6.22367101184446,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
"ITEM1032DTMERRICKFRSKSSDT_ROM","Dog Treats","Target","DT MERRICK FRS KSS DT 23.0-27OZ",0,9.24605880024179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.883059499435914,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ITEM1035DTMERRICKPOWERBITESMT_ROM","Dog Treats","Target","DT MERRICK POWER BITES MT 06OZ",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32408113787092,"ROM",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
