"PPG_Item_No","PPG_Cat","PPG_Item","MFG","Market","Retailer","Model_flag","PPG_Brand"
"ITEM1008DDPROPLANESSENTIAL","Dry Dog","DD PRO PLAN ESSENTIAL 33-35LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1028DTMERRICKBACKCOUNTRYMT","Dog Treats","DT MERRICK BACKCOUNTRY MT 03.3-6OZ","NPP","ROM","Target",1,"Merrick"
"ITEM1029DTMERRICKBACKCOUNTRYCR","Dog Treats","DT MERRICK BACKCOUNTRY CR 10OZ+","NPP","ROM","Target",1,"Merrick"
"ITEM102CWBEYOND","Wet Cat","CW BEYOND 03OZ","NPP","Retailer","Target",2,"Beyond"
"ITEM102CWBEYOND","Wet Cat","CW BEYOND 03OZ","NPP","ROM","Target",1,"Beyond"
"ITEM1030DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 09.5-11.5OZ","NPP","ROM","Target",1,"Merrick"
"ITEM1031DTMERRICKFRSKSSDT","Dog Treats","DT MERRICK FRS KSS DT 05.5-6.5OZ","NPP","ROM","Target",1,"Merrick"
"ITEM1035DTMERRICKPOWERBITESMT","Dog Treats","DT MERRICK POWER BITES MT 06OZ","NPP","ROM","Target",1,"Merrick"
"ITEM103CTFRISKIESPARTYMIXCR","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ","NPP","ROM","Target",2,"Friskies"
"ITEM1043DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 18.5-20LB","NPP","Retailer","Target",2,"Dog Chow Line"
"ITEM1043DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 18.5-20LB","NPP","ROM","Target",2,"Dog Chow Line"
"ITEM1045DDALPO","Dry Dog","DD ALPO 04LB","NPP","Retailer","Target",1,"Alpo"
"ITEM1045DDALPO","Dry Dog","DD ALPO 04LB","NPP","ROM","Target",1,"Alpo"
"ITEM104ALPO","Wet Dog","DW ALPO 13.2OZ 12CT","NPP","ROM","Target",1,"Alpo"
"ITEM1052DDPROPLANBRIGHTMINDS","Dry Dog","DD PRO PLAN BRIGHT MINDS 04-5LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1064DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 23LB","NPP","Retailer","Target",0,"Beyond"
"ITEM1064DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 23LB","NPP","ROM","Target",1,"Beyond"
"ITEM1075DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 16.5LB","NPP","Retailer","Target",2,"Dog Chow Line"
"ITEM1075DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 16.5LB","NPP","ROM","Target",2,"Dog Chow Line"
"ITEM1077DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 09.4-12.5LB","NPP","Retailer","Target",1,"Beneful"
"ITEM1077DDBENEFULPREMIUM","Dry Dog","DD BENEFUL PREMIUM 09.4-12.5LB","NPP","ROM","Target",1,"Beneful"
"ITEM1080DDPUPPYCHOW","Dry Dog","DD PUPPY CHOW 08.8LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1083DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 216OZ","NPP","Retailer","Target",2,"Moist & Meaty"
"ITEM1083DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 216OZ","NPP","ROM","Target",2,"Moist & Meaty"
"ITEM1084DDPUPPYCHOWLGBRD","Dry Dog","DD PUPPY CHOW 32-36LB","NPP","Retailer","Target",1,"Dog Chow Line"
"ITEM1084DDPUPPYCHOWLGBRD","Dry Dog","DD PUPPY CHOW 32-36LB","NPP","ROM","Target",2,"Dog Chow Line"
"ITEM1093DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 40LB","NPP","Retailer","Target",1,"Purina One"
"ITEM1093DDPURINAONEMLTRGTD","Dry Dog","DD PURINA ONE ML TRGTD 40LB","NPP","ROM","Target",2,"Purina One"
"ITEM1097DDBEYONDGRFR","Dry Dog","DD BEYOND GR FR 13LB","NPP","ROM","Target",1,"Beyond"
"ITEM1099CLTIDYCATSCLUMPNONLWBOX","Litter","CL TIDY CATS CLUMP NON-LW BOX 23LB - BOX","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1100CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 14LB","NPP","ROM","Target",2,"Tidy Cats"
"ITEM1101CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 40LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1102CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 10LB","NPP","ROM","Target",2,"Tidy Cats"
"ITEM1103CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 30LB","NPP","ROM","Target",2,"Tidy Cats"
"ITEM1104CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 50LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1105CLTIDYCATSNONCLUMP","Litter","CL TIDY CATS NON-CLUMP 52LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1106CLTIDYCATSCLUMPNONLWECOM","Litter","CL TIDY CATS CLUMP NON-LW BAG ECOM 40LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1107CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 20LB 2PK","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1107DDPROPLANSPORTPERFORM","Dry Dog","DD PRO PLAN SPORT PERFORM 37.5LB","NPP","ROM","Target",1,"Pro Plan"
"ITEM1108CLTIDYCATSCLUMPNONLWPAIL","Litter","CL TIDY CATS CLUMP NON-LW PAIL 38LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1109CLTIDYCATSCLUMPNONLW","Litter","CL TIDY CATS CLUMP NON-LW 10LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1109DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 14.5-15.5LB","NPP","Retailer","Target",0,"Beyond"
"ITEM1109DDBEYONDSMP","Dry Dog","DD BEYOND SMP9 14.5-15.5LB","NPP","ROM","Target",1,"Beyond"
"ITEM1111CLTIDYCATSBREEZEENHANCEDPELLETS","Litter","CL TIDY CATS BREEZE ENHANCED PELLETS 03.5LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1113CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 19.5LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1116CLTIDYCATSCLUMPLW","Litter","CL TIDY CATS CLUMP LW 06LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1116DDPURINAONETRUINSTGF","Dry Dog","DD PURINA ONE TRU INST GF 03LB","NPP","ROM","Target",1,"Purina One"
"ITEM1116DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 16OZ","NPP","ROM","Target",1,"Pioneer Woman"
"ITEM1117CLTIDYCATSNATSTRGNONCLUMP","Litter","CL TIDY CATS NAT STRG CLUMP 14LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1117DDALPO","Dry Dog","DD ALPO 01LB","NPP","ROM","Target",1,"Alpo"
"ITEM1117DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 30OZ","NPP","ROM","Target",1,"Pioneer Woman"
"ITEM1118CLTIDYCATSPURENATUREALT","Litter","CL TIDY CATS PURE NATURE ALT 07.5LB","NPP","ROM","Target",1,"Tidy Cats"
"ITEM1118DTPIONEERWOMANMT","Dog Treats","DT PIONEER WOMAN MT 05OZ","NPP","ROM","Target",1,"Pioneer Woman"
"ITEM1119CLYESTERDAYSNEWSALT","Litter","CL YESTERDAYS NEWS ALT 13.2LB","NPP","ROM","Target",1,"Yesterday's News"
"ITEM1120CLYESTERDAYSNEWSALT","Litter","CL YESTERDAYS NEWS ALT 15LB","NPP","ROM","Target",1,"Yesterday's News"
"ITEM1120DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 02.4OZ","NPP","ROM","Target",1,"Prime"
"ITEM1121DTPRIMEBONESCW","Dog Treats","DT PRIME BONES CW 39.7OZ","NPP","ROM","Target",1,"Prime"
"ITEM1122DDMOISTANDMEATY","Dry Dog","DD MOIST AND MEATY 012OZ","NPP","ROM","Target",1,"Moist & Meaty"
"ITEM1124CLYESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 10LB","NPP","ROM","Target",1,"Yesterday's News"
"ITEM1125CLYESTERDAYSNEWALT","Litter","CL YESTERDAYS NEW ALT 20LB","NPP","ROM","Target",1,"Yesterday's News"
"ITEM1128DDDOGCHOWGREENBG","Dry Dog","DD DOG CHOW GREEN BG 01LB","NPP","ROM","Target",1,"Dog Chow Line"
"ITEM1136DTPUPPYCHOWMT","Dog Treats","DT PUPPY CHOW MT 07OZ","NPP","ROM","Target",2,"Dog Chow Line"
"ITEM1138DTPURINAONETRUEINSTMT","Dog Treats","DT PURINA ONE TRUE INST MT 07OZ","NPP","ROM","Target",1,"Purina One"
"ITEM1139DTPURINAONETRUEINSTMT","Dog Treats","DT PURINA ONE TRUE INST MT 20OZ","NPP","ROM","Target",1,"Purina One"
