"PPG_Item_No","PPG_MFG","PPG_Cat","PPG_Item","median_baseprice","min.baseprice","max.baseprice","max.TPR","max.RP","min.TPR","min.RP","mean.TPR","mean.RP","ACV_TPR_Min","ACV_TPR_Max","ACV_FT_Min","ACV_FT_Max","ACV_DP_Min","ACV_DP_Max","ACV_FT_DP_Min","ACV_FT_DP_Max","min.ListCost","max.ListCost","ListCost","min.OffInvoice","max.OffInvoice","OffInvoice","ACV_Selling_Mean","RP_Elastic","TPR_Elastic","ACV_Selling_Impact","ACV_TPR_Impact","ACV_FT_Impact","ACV_DP_Impact","ACV_FT_DP_Impact","Retailer","Market","PPG_Description","model_RSq","TrainMAPE","Model_flag","TPR_Events","EDLP_flag","TPR_flag","ACV_flag"
"ITEM103CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",14.2,12,16,0,16,0,10,0,12.9815496837472,0.093,2.856,0,3.334,0,0.346,0,0.059,0,12.9815496837472,0,0,12.9815496837472,0,28.146,1,0,1,0,1,1,1,"Target","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 30OZ",0.309075978410461,0.0512579298112116,2,0,0,1,0
"ITEM1CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.7,3,5,22,4,0,2,11.6101720925498,3.29488536116052,0,78.451,0,83.675,0,5.721,0,0.372,1,3,2.4,0,3,0,80.093,1,1,1,1,1,1,1,"Target","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.60989536923286,0.0817678249107215,2,11,0,0,0
"ITEM1CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",3.8,3,5,0,5,0,2,0,3.40854200364662,0.439,7.405,0,5.757,0.029,0.852,0,0.753,0,3.40854200364662,0,0,3.40854200364662,0,35.808,1,0,1,0,0,1,1,"Target","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 06OZ",0.794985004568601,0.0372482624134992,2,0,0,1,0
"ITEM20CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",10,8,11,16,11,0,6,7.75784040865417,8.94878588025373,0,68.171,0,74.19,0,23.148,0,17.384,4,7,5.9,0,7,0,63.644,1,1,1,1,1,1,0,"Target","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.783829592301323,0.0643194933730575,2,9,0,0,0
"ITEM20CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",9.9,8,11,0,11,0,7,0,8.91848887342367,0.224,3.917,0,5.159,0.001,0.832,0,0.077,0,8.91848887342367,0,0,8.91848887342367,0,44.486,1,0,0,0,1,1,1,"Target","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 20OZ",0.740198256913968,0.0291713792004272,2,0,0,1,1
"ITEM22CTFANCYFEASTDUOSCR_ROM","NPP","Cat Treats","CT FANCY FEAST DUOS CR 02.1OZ",2.1,1,3,84,3,0,1,26.9660007498877,1.85000051930686,0,0.289,0,0,0,0.002,0,0,0,1.85000051930686,0,0,1.85000051930686,0,0,1,1,1,1,1,1,0,"Target","ROM","CT FANCY FEAST DUOS CR 02.1OZ",NA,NA,1,58,0,0,0
"ITEM2CTFRISKIESPARTYMIXCR_Retailer","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",4.3,3,5,55,5,0,1,24.4430394668696,2.6814472481014,0,74.093,0,83.034,0,14.389,0,12.667,1,5,1.5,0,5,0,9.429,1,1,1,1,0,1,1,"Target","Retailer","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.848700208125338,0.366249872201902,2,22,0,0,0
"ITEM2CTFRISKIESPARTYMIXCR_ROM","NPP","Cat Treats","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",2,1,3,0,3,0,1,0,1.76751242024164,0.831,9.189,0,5.938,0.102,0.936,0,0.644,0,1.76751242024164,0,0,1.76751242024164,0,46.805,1,0,1,0,1,0,1,"Target","ROM","CT FRISKIES PARTY MIX/NAT YUM CR 02.1OZ",0.701154144138758,0.0333954044340189,2,0,0,1,0
"ITEM36CTWHISKERLICKINSCR_Retailer","NPP","Cat Treats","CT WHISKER LICKINS AO",3.9,3,5,15,5,0,2,11.419221679964,3.22780632130919,0,60.686,0,76.551,0,13.712,0,0.853,0,3,1.9,0,1,0.1,64.21,1,1,1,1,0,1,0,"Target","Retailer","CT WHISKER LICKINS AO",0.880920872752014,0.0686705029957351,2,2,0,0,0
"ITEM36CTWHISKERLICKINSCR_ROM","NPP","Cat Treats","CT WHISKER LICKINS AO",3.6,3,4,7,4,0,2,5.66181482150778,3.26643603149345,0,0.6,0,1.249,0,0.045,0,0,0,3.26643603149345,0,0,3.26643603149345,0,4.0375,1,1,1,1,1,1,0,"Target","ROM","CT WHISKER LICKINS AO",NA,NA,1,7,0,0,0
