"Item.Number","Market","PPG_Description","PPG_Item_no","PPG_Cat","Product_Name","Retailer","BRAND GROUP(C)","ListCost","OffInvoice","2021Q2","2021Q3","2021Q4","2022Q1","2022Q2","2022Q3","2022Q4","2023Q1","2023Q2"
1113200040,"ROM","DD ALPO 04LB","ITEM1045DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Target","ALPO",NA,0,0.801403066740281,0.774836031698977,0.763919929967946,0.782122164498139,0.769156968183214,0.571027256718306,0.48872611127011,0.518477123273583,0.428933524629364
1113200040,"Retailer","DD ALPO 04LB","ITEM1045DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 4 POUND","Target","ALPO",2.86921004145555,0,1,1,1,1,1,1,1,NA,NA
1113200392,"ROM","DT ALPO VARIETY SNAPS CR 32OZ","ITEM5ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Target","ALPO",NA,0,0.560734949126462,0.544502755904547,0.544215833535873,0.574440261075763,0.547674264405262,0.509539214468304,0.508995719129734,0.509050810724653,0.626579445603112
1113200392,"Retailer","DT ALPO VARIETY SNAPS CR 32OZ","ITEM5ALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT VARIETY BEEF CHCKN LVR AND LMB BOX 32 OUNCE","Target","ALPO",1.99919129484821,0,0.450819795767531,0.374005066748118,0.231186842400269,0.264920828258222,0.254500490152393,0.378744650499287,0.285714285714286,0.7,1
1113200681,"ROM","DT ALPO VARIETY SNAPS CR 16OZ","ITEM893DTALPOVARIETYSNAPSCR","Dog Treats","PURINA ALPO VARIETY SNAPS DOG TREAT BEEF CHICKEN LIVER LAMB BOX 16 OUNCE","Target","ALPO",NA,0,1,1,1,1,1,1,1,1,1
1113203137,"ROM","DD ALPO 17.6LB","ITEM1467DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 17.6 POUND","Target","ALPO",NA,0,1,1,1,0.997590361445783,1,1,1,1,0.807612431571472
1113210000,"ROM","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 27 POUND","ITEM1113210000","Dry Dog","PURINA ALPO DRY DOG FOOD ADULT SAVORY BEEF DRY BAG 27 POUND","Target","ALPO",NA,0,NA,NA,NA,NA,NA,NA,NA,1,1
1113210840,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT FILET MIGNON AND BACON WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000237116774200031,0.000107578510980839,0.0000303785194567756,0.00000411434725201412,0.0000105696911786742,0.00000961979449567788,0.000410701987220712,0.00001990521019474,0
1113210860,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROASTED CHICKEN AND TOP SIRLOI WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.00000490082373676182,0.000000318040617349209,0,0,0,0,0,0,0
1113210929,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Target","ALPO",NA,0,0.00000202507765033683,0,0,0,0,0,0,0,0
1113210929,"Retailer","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO CHOP HOUSE DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Target","ALPO",0.76685027943465,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113211169,"ROM","DD ALPO 15LB","ITEM1466DDALPO","Dry Dog","PURINA ALPO DRY DOG FOOD SAVORY BEEF DRY BAG 15 POUND","Target","ALPO",NA,0,0.0111524163568773,0.00245700245700246,0.00353982300884956,0.00302571860816944,0.0051948051948052,0.0534804753820034,0.0565797838525111,0.00880162491536899,0.0548780487804878
1113211755,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT PRIME RIB WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000043230837023252,0.00000890927181380338,0.0000208670877973706,0.0000862358671579569,0.0000191415180592497,0,0,0.00001990521019474,0
1113212516,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF BACON AND CHEESE WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000108643305009782,0.0000234815748601268,0.0000123603290365798,0.00000539121364057023,0.00000197808346346413,0.0000076958355965423,0.0000177236805360109,0,0.00769329280109523
1113212531,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.00022310691858874,0.0000852076929768045,0.0000931475980854224,0.00000790153296047153,0.000000593425039039238,0.00000384791779827115,0.0000708947221440435,0.0000597156305842201,0.0157339454220091
1113212531,"Retailer","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LAMB AND RICE WET CAN 13.2 OUNCE","Target","ALPO",0.759744381378282,0,0.368421052631579,0.625,1,0,1,NA,NA,NA,NA
1113212534,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT LONDON GRILL AND WHOLESOME VEG WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000306374811782552,0.0000923413440239472,0.000029765256977653,0.00000368872512249542,0.00000276931684884978,0.0000461750135792538,0.0000722594455453164,0.000736492777205381,0
1113212541,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT TURKEY AND BACON WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.0000290198891344908,0.00000636081234698417,0.00000190158908255074,0.00000113499234538321,0.00000217589180981054,0.0000153916711930846,0.0000708947221440435,0,0
1113212544,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT CHICKEN AND WHOLESOME VEGGIE A WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000383156198185407,0.0000946428449513948,0.0000314712993162148,0.000000425622129518702,0,0.00000192395889913558,0,0,0
1113212552,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000435868472049267,0.0000905703348462382,0.0000717542455094559,0.0000311654710637911,0.0000400106942154889,0.0000076958355965423,0.000124065763752076,0.0000597156305842201,0
1113212552,"Retailer","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE","Target","ALPO",0.760173167901455,0,0.0526315789473684,0,0,1,0,NA,NA,NA,NA
1113212555,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Target","ALPO",NA,0,0.0000597397906849364,0.0000164382650220854,0.00000242195907168663,0,0,0,0,0.00497976348613323,0.0344851369059935
1113212555,"Retailer","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE TRAY IN WRAP 158.4 OUNCE","Target","ALPO",0.760020325033597,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113212556,"ROM","DW ALPO 13.2OZ 06CT","ITEM525DWALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT BEEF WET CAN 13.2 OUNCE X6","Target","ALPO",NA,0,0.492721972929234,0.661433529744128,0.609013398294762,0.291666666666667,0,0.193535900909619,NA,1,NA
1113212561,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT STEW WITH BEEF AND VEGETABLES WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000307861549751175,0.0000834322312304525,0.0000373979186234979,0.0000175923813534397,0.0000237370015615695,0.0000076958355965423,0.0000354473610720218,0.0000796208407789601,0.0340227515959852
1113212665,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO WET DOG FOOD ADULT ROAST BEEF WET CAN 13.2 OUNCE","Target","ALPO",NA,0,0.000000320210632914853,0.000000159020308674604,0,0,0,0,0,0,0.00849322147805665
1113212772,"ROM","DW ALPO 13.2OZ 12CT","ITEM104ALPO","Wet Dog","PURINA ALPO DOG FOOD-WET TYPE BEEF LOVERS PACK TRAY IN WRAP 158.4 OUNCE","Target","ALPO",NA,0,0.000178206833229641,0.0000657530600883415,0.000019375672573493,0,0.0000149144372159912,0,0,0,0
1113213597,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","Target","ALPO",NA,0,0.000285881651486634,0.0000987745106113784,0.0000320224432186407,0.00000610058385643473,0.0000236946705754514,0.000242488083811451,0.0000177236805360109,0.0000398104203894801,0
1113213597,"Retailer","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT T BONE STEAK WET CAN 13 OUNCE","Target","ALPO",0.760630904973842,0,0.578947368421053,0.375,0,0,0,NA,NA,NA,NA
1113213604,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT ROTISSERIE CHICKEN WET 13 OUNCE","Target","ALPO",NA,0,0.0000581182298740458,0.0000187643964236033,0.00000855715087147834,0.00000453996938153282,0.000000989041731732063,0,0.0000265855208040163,0,0.00243019654257037
1113213606,"ROM","DW ALPO 13.0-13.2OZ","ITEM1ALPO","Wet Dog","PURINA ALPO CHOP HOUSE WET DOG FOOD ADULT BEEF TENDERLOIN WET CAN 13 OUNCE","Target","ALPO",NA,0,0.0000970577641002894,0.0000314504005684285,0.0000123603290365798,0.00000439809533835992,0.00001839597840187,0.000236716207114045,0.000141789444288087,0.0000398104203894801,0
